PeakID (cmd=annotatePeaks.pl consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1064	XIII	851615	852464	+	0	NA	promoter-TSS (YMR290C)	protein_coding-promoter-TSS (YMR290C)	-448	YMR290C	YMR290C	YMR290C			HAS1			protein_coding
Interval_1287	XVI	227722	228134	+	0	NA	promoter-TSS (YPL170W)	protein_coding-promoter-TSS (YPL170W)	-386	YPL170W	YPL170W	YPL170W			DAP1			protein_coding
Interval_1311	XVI	491647	491929	+	0	NA	promoter-TSS (YPL032C)	protein_coding-promoter-TSS (YPL032C)	-424	YPL032C	YPL032C	YPL032C			SVL3			protein_coding
Interval_1221	XV	670879	671405	+	0	NA	promoter-TSS (YOR178C)	protein_coding-promoter-TSS (YOR178C)	-901	YOR178C	YOR178C	YOR178C			GAC1			protein_coding
Interval_518	VII	156291	156490	+	0	NA	promoter-TSS (YGL184C)	protein_coding-promoter-TSS (YGL184C)	-378	YGL184C	YGL184C	YGL184C			STR3			protein_coding
Interval_160	III	298924	299342	+	0	NA	promoter-TSS (YCR098C)	protein_coding-promoter-TSS (YCR098C)	-528	YCR098C	YCR098C	YCR098C			GIT1			protein_coding
Interval_89	II	466038	467036	+	0	NA	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-711	YBR114W	YBR114W	YBR114W			RAD16			protein_coding
Interval_243	IV	690623	690961	+	0	NA	promoter-TSS (YDR119W-A)	protein_coding-promoter-TSS (YDR119W-A)	-222	YDR119W-A	YDR119W-A	YDR119W-A			COX26			protein_coding
Interval_19	I	168991	169232	+	0	NA	promoter-TSS (YAR014C)	protein_coding-promoter-TSS (YAR014C)	-240	YAR014C	YAR014C	YAR014C			BUD14			protein_coding
Interval_374	IX	370113	370441	+	0	NA	promoter-TSS (YIR006C)	protein_coding-promoter-TSS (YIR006C)	-140	tE(UUC)I	tE(UUC)I	tE(UUC)I			tE(UUC)I			tRNA
Interval_1207	XV	504361	505795	+	0	NA	promoter-TSS (YOR095C)	protein_coding-promoter-TSS (YOR095C)	-716	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
Interval_506	VII	23173	23775	+	0	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-461	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
Interval_32	II	45065	45606	+	0	NA	promoter-TSS (YBL092W)	protein_coding-promoter-TSS (YBL092W)	-417	YBL093C	YBL093C	YBL093C			ROX3			protein_coding
Interval_1218	XV	638774	639700	+	0	NA	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	30	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
Interval_568	VII	560138	560370	+	0	NA	promoter-TSS (YGR037C)	protein_coding-promoter-TSS (YGR037C)	-260	YGR037C	YGR037C	YGR037C			ACB1			protein_coding
Interval_761	X	607968	608270	+	0	NA	promoter-TSS (YJR094W-A)	protein_coding-promoter-TSS (YJR094W-A)	-186	YJR094W-A	YJR094W-A	YJR094W-A			RPL43B			protein_coding
Interval_30	II	28502	29192	+	0	NA	promoter-TSS (YBL101C)	protein_coding-promoter-TSS (YBL101C)	420	YBL100W-C	YBL100W-C	YBL100W-C			YBL100W-C			protein_coding
Interval_853	XI	578342	579345	+	0	NA	promoter-TSS (YKR072C)	protein_coding-promoter-TSS (YKR072C)	-122	tK(UUU)K	tK(UUU)K	tK(UUU)K			tK(UUU)K			tRNA
Interval_9	I	61121	61435	+	0	NA	promoter-TSS (YAL042W)	protein_coding-promoter-TSS (YAL042W)	-38	YAL042W	YAL042W	YAL042W			ERV46			protein_coding
Interval_470	VI	16488	16966	+	0	NA	promoter-TSS (YFL055W)	protein_coding-promoter-TSS (YFL055W)	-277	YFL055W	YFL055W	YFL055W			AGP3			protein_coding
Interval_99	II	595183	595954	+	0	NA	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-13	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
Interval_540	VII	347019	347769	+	0	NA	promoter-TSS (YGL087C)	protein_coding-promoter-TSS (YGL087C)	275	YGL086W	YGL086W	YGL086W			MAD1			protein_coding
Interval_753	X	525594	526208	+	0	NA	promoter-TSS (YJR047C)	protein_coding-promoter-TSS (YJR047C)	-434	YJR048W	YJR048W	YJR048W			CYC1			protein_coding
Interval_368	IX	321863	322157	+	0	NA	promoter-TSS (YIL015W)	protein_coding-promoter-TSS (YIL015W)	-332	YIL015W	YIL015W	YIL015W			BAR1			protein_coding
Interval_1099	XIV	197990	198969	+	0	NA	promoter-TSS (YNL241C)	protein_coding-promoter-TSS (YNL241C)	-536	YNL241C	YNL241C	YNL241C			ZWF1			protein_coding
Interval_106	II	642660	643032	+	0	NA	promoter-TSS (YBR208C)	protein_coding-promoter-TSS (YBR208C)	232	tC(GCA)B	tC(GCA)B	tC(GCA)B			tC(GCA)B			tRNA
Interval_875	XII	108282	109182	+	0	NA	promoter-TSS (YLL019C)	protein_coding-promoter-TSS (YLL019C)	240	YLL018C-A	YLL018C-A	YLL018C-A			COX19			protein_coding
Interval_477	VI	74720	75061	+	0	NA	promoter-TSS (YFL031W)	protein_coding-promoter-TSS (YFL031W)	18	YFL032W	YFL032W	YFL032W			YFL032W			protein_coding
Interval_512	VII	110481	110943	+	0	NA	promoter-TSS (tH(GUG)G1)	tRNA-promoter-TSS (tH(GUG)G1)	-16	tH(GUG)G1	tH(GUG)G1	tH(GUG)G1			tH(GUG)G1			tRNA
Interval_1193	XV	377818	378150	+	0	NA	promoter-TSS (YOR023C)	protein_coding-promoter-TSS (YOR023C)	137	YOR024W	YOR024W	YOR024W			YOR024W			protein_coding
Interval_782	XI	1	701	+	0	NA	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-100	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
Interval_396	V	68633	70314	+	0	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-208	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
Interval_42	II	140415	141263	+	0	NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-408	YBL041W	YBL041W	YBL041W			PRE7			protein_coding
Interval_509	VII	73427	74758	+	0	NA	promoter-TSS (YGL226C-A)	protein_coding-promoter-TSS (YGL226C-A)	-190	tV(AAC)G3	tV(AAC)G3	tV(AAC)G3			tV(AAC)G3			tRNA
Interval_962	XII	962859	963126	+	0	NA	promoter-TSS (YLR420W)	protein_coding-promoter-TSS (YLR420W)	63	tL(UAA)L	tL(UAA)L	tL(UAA)L			tL(UAA)L			tRNA
Interval_325	IV	1506871	1507641	+	0	NA	promoter-TSS (YDR536W)	protein_coding-promoter-TSS (YDR536W)	106	YDR535C	YDR535C	YDR535C			YDR535C			protein_coding
Interval_458	V	492292	492491	+	0	NA	promoter-TSS (YER159C)	protein_coding-promoter-TSS (YER159C)	33	tR(ACG)E	tR(ACG)E	tR(ACG)E			tR(ACG)E			tRNA
Interval_612	VII	894184	894626	+	0	NA	promoter-TSS (YGR197C)	protein_coding-promoter-TSS (YGR197C)	-265	YGR197C	YGR197C	YGR197C			SNG1			protein_coding
Interval_7	I	47733	48031	+	0	NA	promoter-TSS (YAL051W)	protein_coding-promoter-TSS (YAL051W)	-682	YAL051W	YAL051W	YAL051W			OAF1			protein_coding
Interval_250	IV	769120	769817	+	0	NA	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-57	YDR156W	YDR156W	YDR156W			RPA14			protein_coding
Interval_1105	XIV	241546	241790	+	0	NA	promoter-TSS (YNL216W)	protein_coding-promoter-TSS (YNL216W)	-21	YNL216W	YNL216W	YNL216W			RAP1			protein_coding
Interval_909	XII	500106	500829	+	0	NA	promoter-TSS (YLR168C)	protein_coding-promoter-TSS (YLR168C)	132	YLR169W	YLR169W	YLR169W			YLR169W			protein_coding
Interval_179	IV	125177	125688	+	0	NA	promoter-TSS (YDL186W)	protein_coding-promoter-TSS (YDL186W)	-184	YDL186W	YDL186W	YDL186W			YDL186W			protein_coding
Interval_893	XII	346143	346489	+	0	NA	promoter-TSS (YLR103C)	protein_coding-promoter-TSS (YLR103C)	-269	YLR104W	YLR104W	YLR104W			LCL2			protein_coding
Interval_113	II	702184	702508	+	0	NA	promoter-TSS (YBR240C)	protein_coding-promoter-TSS (YBR240C)	-504	YBR240C	YBR240C	YBR240C			THI2			protein_coding
Interval_657	VIII	190062	190579	+	0	NA	promoter-TSS (YHR041C)	protein_coding-promoter-TSS (YHR041C)	-223	YHR042W	YHR042W	YHR042W			NCP1			protein_coding
Interval_321	IV	1489639	1490998	+	0	NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-278	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
Interval_793	XI	84035	84246	+	0	NA	promoter-TSS (YKL189W)	protein_coding-promoter-TSS (YKL189W)	-68	tL(UAA)K	tL(UAA)K	tL(UAA)K			tL(UAA)K			tRNA
Interval_214	IV	437737	438214	+	0	NA	promoter-TSS (YDL007W)	protein_coding-promoter-TSS (YDL007W)	-72	YDL007W	YDL007W	YDL007W			RPT2			protein_coding
Interval_436	V	342454	343487	+	0	NA	promoter-TSS (YER091C)	protein_coding-promoter-TSS (YER091C)	115	YER092W	YER092W	YER092W			IES5			protein_coding
Interval_650	VIII	132977	133378	+	0	NA	promoter-TSS (tS(AGA)H)	tRNA-promoter-TSS (tS(AGA)H)	-70	tS(AGA)H	tS(AGA)H	tS(AGA)H			tS(AGA)H			tRNA
Interval_597	VII	774324	774760	+	0	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	193	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
Interval_547	VII	397867	399670	+	0	NA	exon (YGL055W, exon 1 of 1)	protein_coding-exon (YGL055W, exon 1 of 1)	140	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
Interval_1006	XIII	258825	259169	+	0	NA	promoter-TSS (YML006C)	protein_coding-promoter-TSS (YML006C)	242	tS(AGA)M	tS(AGA)M	tS(AGA)M			tS(AGA)M			tRNA
Interval_60	II	297886	298143	+	0	NA	promoter-TSS (YBR029C)	protein_coding-promoter-TSS (YBR029C)	-272	YBR029C	YBR029C	YBR029C			CDS1			protein_coding
Interval_738	X	381069	381268	+	0	NA	promoter-TSS (YJL034W)	protein_coding-promoter-TSS (YJL034W)	-159	YJL034W	YJL034W	YJL034W			KAR2			protein_coding
Interval_1318	XVI	566868	567092	+	0	NA	promoter-TSS (YPR005C)	protein_coding-promoter-TSS (YPR005C)	-309	YPR005C	YPR005C	YPR005C			HAL1			protein_coding
Interval_699	X	73553	75829	+	0	NA	TTS (YJL190C)	protein_coding-TTS (YJL190C)	611	YJL190C	YJL190C	YJL190C			RPS22A			protein_coding
Interval_578	VII	640472	640823	+	0	NA	promoter-TSS (YGR078C)	protein_coding-promoter-TSS (YGR078C)	-73	YGR079W	YGR079W	YGR079W			YGR079W			protein_coding
Interval_1204	XV	479834	480483	+	0	NA	promoter-TSS (YOR081C)	protein_coding-promoter-TSS (YOR081C)	-429	YOR084W	YOR084W	YOR084W			LPX1			protein_coding
Interval_459	V	498866	499146	+	0	NA	promoter-TSS (YER159C-A)	protein_coding-promoter-TSS (YER159C-A)	-882	YER160C	YER160C	YER160C			YER160C			protein_coding
Interval_652	VIII	143613	143911	+	0	NA	promoter-TSS (YHR019C)	protein_coding-promoter-TSS (YHR019C)	-204	YHR019C	YHR019C	YHR019C			DED81			protein_coding
Interval_729	X	294273	295140	+	0	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-93	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
Interval_829	XI	364512	364752	+	0	NA	promoter-TSS (YKL038W)	protein_coding-promoter-TSS (YKL038W)	-144	snR69	snR69	snR69			snR69			snoRNA
Interval_238	IV	636072	636491	+	0	NA	promoter-TSS (YDR096W)	protein_coding-promoter-TSS (YDR096W)	246	YDR095C	YDR095C	YDR095C			YDR095C			protein_coding
Interval_382	IX	421617	422398	+	0	NA	promoter-TSS (YIR035C)	protein_coding-promoter-TSS (YIR035C)	-217	YIR035C	YIR035C	YIR035C			YIR035C			protein_coding
Interval_1126	XIV	452014	452213	+	0	NA	promoter-TSS (YNL091W)	protein_coding-promoter-TSS (YNL091W)	-295	YNL091W	YNL091W	YNL091W			NST1			protein_coding
Interval_391	V	33774	34045	+	0	NA	promoter-TSS (YEL062W)	protein_coding-promoter-TSS (YEL062W)	-443	YEL063C	YEL063C	YEL063C			CAN1			protein_coding
Interval_608	VII	848749	849087	+	0	NA	promoter-TSS (YGR175C)	protein_coding-promoter-TSS (YGR175C)	198	YGR176W	YGR176W	YGR176W			YGR176W			protein_coding
Interval_857	XI	614042	615379	+	0	NA	promoter-TSS (YKR092C)	protein_coding-promoter-TSS (YKR092C)	-825	YKR092C	YKR092C	YKR092C			SRP40			protein_coding
Interval_326	IV	1517892	1518227	+	0	NA	promoter-TSS (YDR540C)	protein_coding-promoter-TSS (YDR540C)	-384	YDR540C	YDR540C	YDR540C			IRC4			protein_coding
Interval_263	IV	930441	930922	+	0	NA	promoter-TSS (YDR233C)	protein_coding-promoter-TSS (YDR233C)	-324	YDR233C	YDR233C	YDR233C			RTN1			protein_coding
Interval_931	XII	664938	665640	+	0	NA	promoter-TSS (YLR259C)	protein_coding-promoter-TSS (YLR259C)	-287	YLR259C	YLR259C	YLR259C			HSP60			protein_coding
Interval_145	III	169751	170189	+	0	NA	TTS (YCR028C)	protein_coding-TTS (YCR028C)	-1598	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
Interval_413	V	225309	225657	+	0	NA	promoter-TSS (YER036C)	protein_coding-promoter-TSS (YER036C)	-284	YER036C	YER036C	YER036C			ARB1			protein_coding
Interval_980	XIII	46567	47207	+	0	NA	promoter-TSS (YML111W)	protein_coding-promoter-TSS (YML111W)	-55	YML111W	YML111W	YML111W			BUL2			protein_coding
Interval_1179	XV	227910	228617	+	0	NA	promoter-TSS (YOL054W)	protein_coding-promoter-TSS (YOL054W)	-68	tN(GUU)O1	tN(GUU)O1	tN(GUU)O1			tN(GUU)O1			tRNA
Interval_1359	XVI	866467	866742	+	0	NA	promoter-TSS (YPR161C)	protein_coding-promoter-TSS (YPR161C)	-182	YPR161C	YPR161C	YPR161C			SGV1			protein_coding
Interval_1034	XIII	482596	483679	+	0	NA	promoter-TSS (YMR108W)	protein_coding-promoter-TSS (YMR108W)	123	YMR107W	YMR107W	YMR107W			SPG4			protein_coding
Interval_1011	XIII	290825	291178	+	0	NA	promoter-TSS (YMR012W)	protein_coding-promoter-TSS (YMR012W)	-133	YMR012W	YMR012W	YMR012W			CLU1			protein_coding
Interval_295	IV	1251410	1252062	+	0	NA	promoter-TSS (YDR389W)	protein_coding-promoter-TSS (YDR389W)	-801	YDR389W	YDR389W	YDR389W			SAC7			protein_coding
Interval_1170	XV	94365	94725	+	0	NA	promoter-TSS (YOL120C)	protein_coding-promoter-TSS (YOL120C)	-143	YOL120C	YOL120C	YOL120C			RPL18A			protein_coding
Interval_249	IV	751087	751414	+	0	NA	promoter-TSS (YDR146C)	protein_coding-promoter-TSS (YDR146C)	-381	YDR147W	YDR147W	YDR147W			EKI1			protein_coding
Interval_839	XI	451257	452149	+	0	NA	promoter-TSS (YKR006C)	protein_coding-promoter-TSS (YKR006C)	269	YKR007W	YKR007W	YKR007W			MEH1			protein_coding
Interval_929	XII	658033	658644	+	0	NA	promoter-TSS (YLR257W)	protein_coding-promoter-TSS (YLR257W)	-488	YLR257W	YLR257W	YLR257W			YLR257W			protein_coding
Interval_162	IV	1	812	+	0	NA	Intergenic	Intergenic	-1396	YDL248W	YDL248W	YDL248W			COS7			protein_coding
Interval_1103	XIV	233763	234114	+	0	NA	promoter-TSS (YNL220W)	protein_coding-promoter-TSS (YNL220W)	-243	YNL221C	YNL221C	YNL221C			POP1			protein_coding
Interval_503	VI	269915	270161	+	0	NA	TTS (YFR057W)	protein_coding-TTS (YFR057W)	977	YFR057W	YFR057W	YFR057W			YFR057W			protein_coding
Interval_1144	XIV	631345	633560	+	0	NA	promoter-TSS (tN(GUU)N2)	tRNA-promoter-TSS (tN(GUU)N2)	-147	tN(GUU)N2	tN(GUU)N2	tN(GUU)N2			tN(GUU)N2			tRNA
Interval_1310	XVI	481932	482434	+	0	NA	promoter-TSS (YPL036W)	protein_coding-promoter-TSS (YPL036W)	-282	YPL037C	YPL037C	YPL037C			EGD1			protein_coding
Interval_645	VIII	98227	98990	+	0	NA	promoter-TSS (YHL004W)	protein_coding-promoter-TSS (YHL004W)	187	YHL006C	YHL006C	YHL006C			SHU1			protein_coding
Interval_1363	XVI	899674	900773	+	0	NA	promoter-TSS (YPR181C)	protein_coding-promoter-TSS (YPR181C)	29	YPR182W	YPR182W	YPR182W			SMX3			protein_coding
Interval_533	VII	306299	306567	+	0	NA	promoter-TSS (YGL106W)	protein_coding-promoter-TSS (YGL106W)	-127	YGL106W	YGL106W	YGL106W			MLC1			protein_coding
Interval_4	I	32807	33285	+	0	NA	promoter-TSS (YAL061W)	protein_coding-promoter-TSS (YAL061W)	-402	YAL061W	YAL061W	YAL061W			BDH2			protein_coding
Interval_335	IX	84876	85058	+	0	NA	promoter-TSS (YIL140W)	protein_coding-promoter-TSS (YIL140W)	-86	YIL141W	YIL141W	YIL141W			YIL141W			protein_coding
Interval_17	I	143456	143895	+	0	NA	promoter-TSS (YAL002W)	protein_coding-promoter-TSS (YAL002W)	-32	YAL002W	YAL002W	YAL002W			VPS8			protein_coding
Interval_386	V	9648	9954	+	0	NA	Intergenic	Intergenic	-2248	YEL073C	YEL073C	YEL073C			YEL073C			protein_coding
Interval_961	XII	954469	954668	+	0	NA	promoter-TSS (YLR414C)	protein_coding-promoter-TSS (YLR414C)	29	YLR415C	YLR415C	YLR415C			YLR415C			protein_coding
Interval_1226	XV	722697	722912	+	0	NA	promoter-TSS (YOR204W)	protein_coding-promoter-TSS (YOR204W)	-107	YOR204W	YOR204W	YOR204W			DED1			protein_coding
Interval_941	XII	781520	781886	+	0	NA	promoter-TSS (YLR325C)	protein_coding-promoter-TSS (YLR325C)	-324	YLR325C	YLR325C	YLR325C			RPL38			protein_coding
Interval_356	IX	232363	232934	+	0	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-279	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
Interval_282	IV	1135463	1135719	+	0	NA	promoter-TSS (YDR333C)	protein_coding-promoter-TSS (YDR333C)	-160	YDR333C	YDR333C	YDR333C			RQC1			protein_coding
Interval_814	XI	247881	248509	+	0	NA	promoter-TSS (YKL101W)	protein_coding-promoter-TSS (YKL101W)	172	YKL102C	YKL102C	YKL102C			YKL102C			protein_coding
Interval_1252	XV	987378	989622	+	0	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	282	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
Interval_1333	XVI	673644	673876	+	0	NA	promoter-TSS (YPR058W)	protein_coding-promoter-TSS (YPR058W)	9	YPR058W	YPR058W	YPR058W			YMC1			protein_coding
Interval_1142	XIV	619772	620042	+	0	NA	promoter-TSS (YNL006W)	protein_coding-promoter-TSS (YNL006W)	-160	YNL006W	YNL006W	YNL006W			LST8			protein_coding
Interval_1031	XIII	465641	465893	+	0	NA	promoter-TSS (YMR099C)	protein_coding-promoter-TSS (YMR099C)	-533	YMR100W	YMR100W	YMR100W			MUB1			protein_coding
Interval_1237	XV	842077	842721	+	0	NA	promoter-TSS (YOR277C)	protein_coding-promoter-TSS (YOR277C)	-4	snR5	snR5	snR5			snR5			snoRNA
Interval_905	XII	448244	451078	+	0	NA	promoter-TSS (tQ(UUG)L)	tRNA-promoter-TSS (tQ(UUG)L)	-940	tQ(UUG)L	tQ(UUG)L	tQ(UUG)L			tQ(UUG)L			tRNA
Interval_1119	XIV	405656	406033	+	0	NA	promoter-TSS (YNL117W)	protein_coding-promoter-TSS (YNL117W)	-280	YNL118C	YNL118C	YNL118C			DCP2			protein_coding
Interval_647	VIII	115076	116151	+	0	NA	promoter-TSS (YHR005C)	protein_coding-promoter-TSS (YHR005C)	288	YHR005C-A	YHR005C-A	YHR005C-A			TIM10			protein_coding
Interval_534	VII	310664	312451	+	0	NA	promoter-TSS (YGL101W)	protein_coding-promoter-TSS (YGL101W)	376	YGL102C	YGL102C	YGL102C			YGL102C			protein_coding
Interval_878	XII	153810	154075	+	0	NA	promoter-TSS (YLR001C)	protein_coding-promoter-TSS (YLR001C)	35	YLR001C	YLR001C	YLR001C			YLR001C			protein_coding
Interval_987	XIII	124217	124599	+	0	NA	promoter-TSS (YML073C)	protein_coding-promoter-TSS (YML073C)	-236	YML073C	YML073C	YML073C			RPL6A			protein_coding
Interval_564	VII	544428	544798	+	0	NA	promoter-TSS (snR46)	snoRNA-promoter-TSS (snR46)	35	tD(GUC)G2	tD(GUC)G2	tD(GUC)G2			tD(GUC)G2			tRNA
Interval_1277	XVI	132163	132692	+	0	NA	promoter-TSS (YPL221W)	protein_coding-promoter-TSS (YPL221W)	-312	YPL222C-A	YPL222C-A	YPL222C-A			YPL222C-A			protein_coding
Interval_1198	XV	438692	439268	+	0	NA	TTS (YOR059C)	protein_coding-TTS (YOR059C)	337	tK(UUU)O	tK(UUU)O	tK(UUU)O			tK(UUU)O			tRNA
Interval_611	VII	882661	884468	+	0	NA	TTS (YGR193C)	protein_coding-TTS (YGR193C)	246	YGR192C	YGR192C	YGR192C			TDH3			protein_coding
Interval_948	XII	818586	819314	+	0	NA	promoter-TSS (YLR344W)	protein_coding-promoter-TSS (YLR344W)	341	tR(CCG)L	tR(CCG)L	tR(CCG)L			TRR4			tRNA
Interval_1115	XIV	349823	350505	+	0	NA	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	-408	YNL149C	YNL149C	YNL149C			PGA2			protein_coding
Interval_1130	XIV	503115	503530	+	0	NA	promoter-TSS (YNL065W)	protein_coding-promoter-TSS (YNL065W)	-402	YNL065W	YNL065W	YNL065W			AQR1			protein_coding
Interval_854	XI	581009	582134	+	0	NA	promoter-TSS (YKR075C)	protein_coding-promoter-TSS (YKR075C)	-712	YKR076W	YKR076W	YKR076W			ECM4			protein_coding
Interval_779	X	719147	719393	+	0	NA	promoter-TSS (YJR152W)	protein_coding-promoter-TSS (YJR152W)	-396	YJR152W	YJR152W	YJR152W			DAL5			protein_coding
Interval_81	II	418244	418451	+	0	NA	TTS (YBR085C-A)	protein_coding-TTS (YBR085C-A)	817	YBR085C-A	YBR085C-A	YBR085C-A			YBR085C-A			protein_coding
Interval_991	XIII	162427	162626	+	0	NA	TTS (YML057W)	protein_coding-TTS (YML057W)	1094	snR54	snR54	snR54			snR54			snoRNA
Interval_1025	XIII	396566	396964	+	0	NA	promoter-TSS (YMR062C)	protein_coding-promoter-TSS (YMR062C)	-312	YMR063W	YMR063W	YMR063W			RIM9			protein_coding
Interval_790	XI	75618	75841	+	0	NA	promoter-TSS (YKL195W)	protein_coding-promoter-TSS (YKL195W)	-92	YKL195W	YKL195W	YKL195W			MIA40			protein_coding
Interval_860	XI	665994	666816	+	0	NA	Intergenic	Intergenic	4963	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
Interval_194	IV	239682	240095	+	0	NA	promoter-TSS (YDL124W)	protein_coding-promoter-TSS (YDL124W)	-282	YDL125C	YDL125C	YDL125C			HNT1			protein_coding
Interval_724	X	241623	241853	+	0	NA	promoter-TSS (YJL098W)	protein_coding-promoter-TSS (YJL098W)	-344	YJL098W	YJL098W	YJL098W			SAP185			protein_coding
Interval_688	VIII	521984	522185	+	0	NA	promoter-TSS (YHR210C)	protein_coding-promoter-TSS (YHR210C)	-347	YHR210C	YHR210C	YHR210C			YHR210C			protein_coding
Interval_901	XII	416748	417347	+	0	NA	promoter-TSS (YLR136C)	protein_coding-promoter-TSS (YLR136C)	41	YLR137W	YLR137W	YLR137W			RKM5			protein_coding
Interval_926	XII	637850	639568	+	0	NA	exon (YLR249W, exon 1 of 1)	protein_coding-exon (YLR249W, exon 1 of 1)	-1608	YLR250W	YLR250W	YLR250W			SSP120			protein_coding
Interval_1139	XIV	586444	587796	+	0	NA	promoter-TSS (YNL024C-A)	protein_coding-promoter-TSS (YNL024C-A)	-300	YNL024C-A	YNL024C-A	YNL024C-A			KSH1			protein_coding
Interval_104	II	624830	625658	+	0	NA	promoter-TSS (YBR201C-A)	protein_coding-promoter-TSS (YBR201C-A)	-528	YBR202W	YBR202W	YBR202W			MCM7			protein_coding
