PeakID (cmd=annotatePeaks.pl consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1831	XVI	493119	493383	+	0	NA	promoter-TSS (YPL030W)	protein_coding-promoter-TSS (YPL030W)	-214	YPL031C	YPL031C	YPL031C			PHO85			protein_coding
Interval_720	VII	225823	226289	+	0	NA	promoter-TSS (YGL148W)	protein_coding-promoter-TSS (YGL148W)	-343	YGL148W	YGL148W	YGL148W			ARO2			protein_coding
Interval_1404	XIII	510342	511289	+	0	NA	promoter-TSS (YMR121C)	protein_coding-promoter-TSS (YMR121C)	260	YMR122C	YMR122C	YMR122C			YMR122C			protein_coding
Interval_1156	XI	552478	552807	+	0	NA	promoter-TSS (YKR058W)	protein_coding-promoter-TSS (YKR058W)	-128	YKR058W	YKR058W	YKR058W			GLG1			protein_coding
Interval_1372	XIII	318343	318766	+	0	NA	promoter-TSS (YMR021C)	protein_coding-promoter-TSS (YMR021C)	-126	YMR022W	YMR022W	YMR022W			UBC7			protein_coding
Interval_862	VIII	12749	12937	+	0	NA	promoter-TSS (YHL044W)	protein_coding-promoter-TSS (YHL044W)	341	YHL045W	YHL045W	YHL045W			YHL045W			protein_coding
Interval_1359	XIII	258840	259295	+	0	NA	promoter-TSS (YML006C)	protein_coding-promoter-TSS (YML006C)	172	tS(AGA)M	tS(AGA)M	tS(AGA)M			tS(AGA)M			tRNA
Interval_209	III	266367	267043	+	0	NA	promoter-TSS (YCR089W)	protein_coding-promoter-TSS (YCR089W)	-729	YCR089W	YCR089W	YCR089W			FIG2			protein_coding
Interval_1132	XI	392008	392428	+	0	NA	promoter-TSS (YKL025C)	protein_coding-promoter-TSS (YKL025C)	61	YKL025C	YKL025C	YKL025C			PAN3			protein_coding
Interval_1119	XI	302771	303217	+	0	NA	promoter-TSS (tW(CCA)K)	tRNA-promoter-TSS (tW(CCA)K)	76	tW(CCA)K	tW(CCA)K	tW(CCA)K			tW(CCA)K			tRNA
Interval_764	VII	525502	525898	+	0	NA	exon (YGR019W, exon 1 of 1)	protein_coding-exon (YGR019W, exon 1 of 1)	471	YGR019W	YGR019W	YGR019W			UGA1			protein_coding
Interval_506	IX	241742	242293	+	0	NA	promoter-TSS (YIL064W)	protein_coding-promoter-TSS (YIL064W)	74	YIL064W	YIL064W	YIL064W			EFM4			protein_coding
Interval_172	III	48309	48524	+	0	NA	promoter-TSS (YCL044C)	protein_coding-promoter-TSS (YCL044C)	-52	YCL044C	YCL044C	YCL044C			MGR1			protein_coding
Interval_58	II	167952	168351	+	0	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-272	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
Interval_312	IV	562638	563133	+	0	NA	promoter-TSS (YDR054C)	protein_coding-promoter-TSS (YDR054C)	-558	YDR054C	YDR054C	YDR054C			CDC34			protein_coding
Interval_418	IV	1228267	1228566	+	0	NA	promoter-TSS (YDR377W)	protein_coding-promoter-TSS (YDR377W)	-195	YDR377W	YDR377W	YDR377W			ATP17			protein_coding
Interval_624	V	435501	436222	+	0	NA	promoter-TSS (tK(CUU)E2)	tRNA-promoter-TSS (tK(CUU)E2)	-37	tK(CUU)E2	tK(CUU)E2	tK(CUU)E2			tK(CUU)E2			tRNA
Interval_1412	XIII	577379	577973	+	0	NA	promoter-TSS (YMR161W)	protein_coding-promoter-TSS (YMR161W)	-42	YMR161W	YMR161W	YMR161W			HLJ1			protein_coding
Interval_1219	XII	369726	371357	+	0	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	150	YLR111W	YLR111W	YLR111W			YLR111W			protein_coding
Interval_656	VI	76564	77610	+	0	NA	promoter-TSS (YFL031C-A)	protein_coding-promoter-TSS (YFL031C-A)	256	YFL030W	YFL030W	YFL030W			AGX1			protein_coding
Interval_1796	XVI	261167	261451	+	0	NA	promoter-TSS (YPL154C)	protein_coding-promoter-TSS (YPL154C)	-378	YPL154C	YPL154C	YPL154C			PEP4			protein_coding
Interval_768	VII	541600	542072	+	0	NA	promoter-TSS (YGR028W)	protein_coding-promoter-TSS (YGR028W)	-14	tE(UUC)G3	tE(UUC)G3	tE(UUC)G3			tE(UUC)G3			tRNA
Interval_666	VI	155922	156210	+	0	NA	promoter-TSS (YFR005C)	protein_coding-promoter-TSS (YFR005C)	-79	YFR006W	YFR006W	YFR006W			YFR006W			protein_coding
Interval_1279	XII	758616	759756	+	0	NA	promoter-TSS (YLR312C)	protein_coding-promoter-TSS (YLR312C)	-294	YLR312W-A	YLR312W-A	YLR312W-A			MRPL15			protein_coding
Interval_484	IX	106066	106321	+	0	NA	TTS (YIL129C)	protein_coding-TTS (YIL129C)	3411	YIL130W	YIL130W	YIL130W			ASG1			protein_coding
Interval_1243	XII	523525	523763	+	0	NA	promoter-TSS (YLR186W)	protein_coding-promoter-TSS (YLR186W)	12	YLR186W	YLR186W	YLR186W			EMG1			protein_coding
Interval_899	VIII	217780	218031	+	0	NA	promoter-TSS (YHR056C)	protein_coding-promoter-TSS (YHR056C)	-71	YHR056C	YHR056C	YHR056C			RSC30			protein_coding
Interval_622	V	430910	431410	+	0	NA	promoter-TSS (YER132C)	protein_coding-promoter-TSS (YER132C)	60	snR52	snR52	snR52			snR52			snoRNA
Interval_139	II	614052	615767	+	0	NA	promoter-TSS (YBR196C-A)	protein_coding-promoter-TSS (YBR196C-A)	-279	YBR196C-B	YBR196C-B	YBR196C-B			YBR196C-B			protein_coding
Interval_1552	XIV	525322	526182	+	0	NA	promoter-TSS (YNL054W)	protein_coding-promoter-TSS (YNL054W)	-334	YNL054W	YNL054W	YNL054W			VAC7			protein_coding
Interval_343	IV	794114	794545	+	0	NA	promoter-TSS (YDR169C)	protein_coding-promoter-TSS (YDR169C)	394	YDR169C-A	YDR169C-A	YDR169C-A			YDR169C-A			protein_coding
Interval_12	I	70964	71503	+	0	NA	promoter-TSS (YAL038W)	protein_coding-promoter-TSS (YAL038W)	-553	YAL038W	YAL038W	YAL038W			CDC19			protein_coding
Interval_697	VII	73311	74769	+	0	NA	promoter-TSS (YGL226C-A)	protein_coding-promoter-TSS (YGL226C-A)	-138	tV(AAC)G3	tV(AAC)G3	tV(AAC)G3			tV(AAC)G3			tRNA
Interval_594	V	270212	270589	+	0	NA	promoter-TSS (YER056C-A)	protein_coding-promoter-TSS (YER056C-A)	-215	YER056C-A	YER056C-A	YER056C-A			RPL34A			protein_coding
Interval_1581	XIV	707278	708610	+	0	NA	promoter-TSS (YNR047W)	protein_coding-promoter-TSS (YNR047W)	156	YNR046W	YNR046W	YNR046W			TRM112			protein_coding
Interval_1458	XIII	874638	874843	+	0	NA	promoter-TSS (YMR303C)	protein_coding-promoter-TSS (YMR303C)	-247	YMR304W	YMR304W	YMR304W			UBP15			protein_coding
Interval_1014	X	415882	416114	+	0	NA	promoter-TSS (tW(CCA)J)	tRNA-promoter-TSS (tW(CCA)J)	38	tW(CCA)J	tW(CCA)J	tW(CCA)J			tW(CCA)J			tRNA
Interval_1110	XI	225980	226447	+	0	NA	promoter-TSS (YKL112W)	protein_coding-promoter-TSS (YKL112W)	-338	YKL113C	YKL113C	YKL113C			RAD27			protein_coding
Interval_685	VI	269901	270161	+	0	NA	TTS (YFR057W)	protein_coding-TTS (YFR057W)	970	YFR057W	YFR057W	YFR057W			YFR057W			protein_coding
Interval_92	II	347393	347776	+	0	NA	promoter-TSS (YBR055C)	protein_coding-promoter-TSS (YBR055C)	-19	tL(UAA)B2	tL(UAA)B2	tL(UAA)B2			tL(UAA)B2			tRNA
Interval_1311	XII	965666	965946	+	0	NA	promoter-TSS (YLR421C)	protein_coding-promoter-TSS (YLR421C)	-91	YLR422W	YLR422W	YLR422W			YLR422W			protein_coding
Interval_1356	XIII	243996	244195	+	0	NA	promoter-TSS (YML013W)	protein_coding-promoter-TSS (YML013W)	-54	YML013W	YML013W	YML013W			UBX2			protein_coding
Interval_176	III	63513	63687	+	0	NA	promoter-TSS (YCL033C)	protein_coding-promoter-TSS (YCL033C)	159	YCL032W	YCL032W	YCL032W			STE50			protein_coding
Interval_847	VII	1007353	1007552	+	0	NA	promoter-TSS (YGR257C)	protein_coding-promoter-TSS (YGR257C)	-147	YGR257C	YGR257C	YGR257C			MTM1			protein_coding
Interval_1641	XV	347310	347671	+	0	NA	promoter-TSS (YOR010C)	protein_coding-promoter-TSS (YOR010C)	-540	YOR010C	YOR010C	YOR010C			TIR2			protein_coding
Interval_1820	XVI	425084	426192	+	0	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	209	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
Interval_488	IX	129880	130247	+	0	NA	promoter-TSS (YIL122W)	protein_coding-promoter-TSS (YIL122W)	-547	YIL122W	YIL122W	YIL122W			POG1			protein_coding
Interval_1101	XI	179318	179763	+	0	NA	promoter-TSS (YKL141W)	protein_coding-promoter-TSS (YKL141W)	-127	YKL141W	YKL141W	YKL141W			SDH3			protein_coding
Interval_1299	XII	875154	875542	+	0	NA	promoter-TSS (YLR377C)	protein_coding-promoter-TSS (YLR377C)	-28	tK(UUU)L	tK(UUU)L	tK(UUU)L			tK(UUU)L			tRNA
Interval_1489	XIV	112642	113062	+	0	NA	promoter-TSS (YNL278W)	protein_coding-promoter-TSS (YNL278W)	-419	YNL278W	YNL278W	YNL278W			CAF120			protein_coding
Interval_1440	XIII	763252	763498	+	0	NA	promoter-TSS (snR86)	snoRNA-promoter-TSS (snR86)	-262	snR86	snR86	snR86			snR86			snoRNA
Interval_1123	XI	321660	322854	+	0	NA	promoter-TSS (YKL062W)	protein_coding-promoter-TSS (YKL062W)	-739	YKL063C	YKL063C	YKL063C			YKL063C			protein_coding
Interval_244	IV	158822	159564	+	0	NA	promoter-TSS (YDL168W)	protein_coding-promoter-TSS (YDL168W)	-411	YDL168W	YDL168W	YDL168W			SFA1			protein_coding
Interval_708	VII	147813	148039	+	0	NA	promoter-TSS (YGL190C)	protein_coding-promoter-TSS (YGL190C)	-537	YGL190C	YGL190C	YGL190C			CDC55			protein_coding
Interval_707	VII	144124	144728	+	0	NA	promoter-TSS (YGL191W)	protein_coding-promoter-TSS (YGL191W)	-382	YGL191W	YGL191W	YGL191W			COX13			protein_coding
Interval_14	I	76011	76268	+	0	NA	promoter-TSS (YAL035W)	protein_coding-promoter-TSS (YAL035W)	13	YAL036C	YAL036C	YAL036C			RBG1			protein_coding
Interval_132	II	586244	586490	+	0	NA	promoter-TSS (YBR177C)	protein_coding-promoter-TSS (YBR177C)	-205	YBR177C	YBR177C	YBR177C			EHT1			protein_coding
Interval_83	II	301480	301824	+	0	NA	promoter-TSS (YBR033W)	protein_coding-promoter-TSS (YBR033W)	133	YBR032W	YBR032W	YBR032W			YBR032W			protein_coding
Interval_1714	XV	818297	818664	+	0	NA	promoter-TSS (YOR264W)	protein_coding-promoter-TSS (YOR264W)	-386	YOR264W	YOR264W	YOR264W			DSE3			protein_coding
Interval_167	III	17005	17256	+	0	NA	promoter-TSS (YCL063W)	protein_coding-promoter-TSS (YCL063W)	-160	YCL063W	YCL063W	YCL063W			VAC17			protein_coding
Interval_316	IV	575840	576083	+	0	NA	promoter-TSS (YDR062W)	protein_coding-promoter-TSS (YDR062W)	-513	YDR062W	YDR062W	YDR062W			LCB2			protein_coding
Interval_233	IV	97988	98593	+	0	NA	promoter-TSS (YDL202W)	protein_coding-promoter-TSS (YDL202W)	-185	YDL202W	YDL202W	YDL202W			MRPL11			protein_coding
Interval_775	VII	576464	577004	+	0	NA	promoter-TSS (YGR041W)	protein_coding-promoter-TSS (YGR041W)	-753	YGR041W	YGR041W	YGR041W			BUD9			protein_coding
Interval_1669	XV	511297	511770	+	0	NA	promoter-TSS (YOR098C)	protein_coding-promoter-TSS (YOR098C)	-292	YOR099W	YOR099W	YOR099W			KTR1			protein_coding
Interval_107	II	426573	427433	+	0	NA	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	55	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
Interval_1384	XIII	387825	388715	+	0	NA	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-26	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
Interval_1900	XVI	927626	928940	+	0	NA	promoter-TSS (YPR195C)	protein_coding-promoter-TSS (YPR195C)	11	YPR195C	YPR195C	YPR195C			YPR195C			protein_coding
Interval_1640	XV	331255	331458	+	0	NA	promoter-TSS (YOR003W)	protein_coding-promoter-TSS (YOR003W)	-99	YOR003W	YOR003W	YOR003W			YSP3			protein_coding
Interval_1226	XII	410135	410514	+	0	NA	promoter-TSS (YLR134W)	protein_coding-promoter-TSS (YLR134W)	-399	YLR134W	YLR134W	YLR134W			PDC5			protein_coding
Interval_1697	XV	689409	689714	+	0	NA	promoter-TSS (YOR189W)	protein_coding-promoter-TSS (YOR189W)	-63	YOR189W	YOR189W	YOR189W			IES4			protein_coding
Interval_135	II	595566	596004	+	0	NA	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-230	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
Interval_515	IX	291849	292404	+	0	NA	promoter-TSS (YIL031W)	protein_coding-promoter-TSS (YIL031W)	191	YIL032C	YIL032C	YIL032C			YIL032C			protein_coding
Interval_59	II	181476	182394	+	0	NA	promoter-TSS (YBL020W)	protein_coding-promoter-TSS (YBL020W)	159	YBL021C	YBL021C	YBL021C			HAP3			protein_coding
Interval_869	VIII	62475	62786	+	0	NA	promoter-TSS (YHL023C)	protein_coding-promoter-TSS (YHL023C)	-67	YHL023C	YHL023C	YHL023C			NPR3			protein_coding
Interval_943	VIII	512081	512447	+	0	NA	promoter-TSS (YHR206W)	protein_coding-promoter-TSS (YHR206W)	-468	YHR206W	YHR206W	YHR206W			SKN7			protein_coding
Interval_848	VII	1011223	1012386	+	0	NA	promoter-TSS (YGR260W)	protein_coding-promoter-TSS (YGR260W)	-681	YGR260W	YGR260W	YGR260W			TNA1			protein_coding
Interval_1238	XII	500500	500721	+	0	NA	promoter-TSS (YLR168C)	protein_coding-promoter-TSS (YLR168C)	-123	YLR171W	YLR171W	YLR171W			YLR171W			protein_coding
Interval_1503	XIV	241552	241805	+	0	NA	promoter-TSS (YNL216W)	protein_coding-promoter-TSS (YNL216W)	-11	YNL216W	YNL216W	YNL216W			RAP1			protein_coding
Interval_16	I	83868	84247	+	0	NA	promoter-TSS (YAL031W-A)	protein_coding-promoter-TSS (YAL031W-A)	417	YAL032C	YAL032C	YAL032C			PRP45			protein_coding
Interval_912	VIII	316053	316487	+	0	NA	promoter-TSS (YHR101C)	protein_coding-promoter-TSS (YHR101C)	-302	YHR101C	YHR101C	YHR101C			BIG1			protein_coding
Interval_282	IV	410351	412633	+	0	NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-333	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
Interval_776	VII	581562	581985	+	0	NA	promoter-TSS (YGR043C)	protein_coding-promoter-TSS (YGR043C)	-337	YGR043C	YGR043C	YGR043C			NQM1			protein_coding
Interval_1125	XI	338896	341098	+	0	NA	promoter-TSS (YKL053C-A)	protein_coding-promoter-TSS (YKL053C-A)	425	YKL053W	YKL053W	YKL053W			YKL053W			protein_coding
Interval_358	IV	904989	905184	+	0	NA	promoter-TSS (YDR218C)	protein_coding-promoter-TSS (YDR218C)	-34	YDR218C	YDR218C	YDR218C			SPR28			protein_coding
Interval_717	VII	197004	198023	+	0	NA	promoter-TSS (YGL162W)	protein_coding-promoter-TSS (YGL162W)	-625	YGL162W	YGL162W	YGL162W			SUT1			protein_coding
Interval_1567	XIV	619772	620052	+	0	NA	promoter-TSS (YNL006W)	protein_coding-promoter-TSS (YNL006W)	-155	YNL006W	YNL006W	YNL006W			LST8			protein_coding
Interval_1519	XIV	339380	340432	+	0	NA	promoter-TSS (YNL157W)	protein_coding-promoter-TSS (YNL157W)	294	YNL158W	YNL158W	YNL158W			PGA1			protein_coding
Interval_49	II	107530	107778	+	0	NA	promoter-TSS (YBL060W)	protein_coding-promoter-TSS (YBL060W)	-248	YBL061C	YBL061C	YBL061C			SKT5			protein_coding
Interval_250	IV	215637	216136	+	0	NA	promoter-TSS (YDL137W)	protein_coding-promoter-TSS (YDL137W)	-643	YDL137W	YDL137W	YDL137W			ARF2			protein_coding
Interval_70	II	247744	247979	+	0	NA	TTS (YBR007C)	protein_coding-TTS (YBR007C)	851	YBR006W	YBR006W	YBR006W			UGA2			protein_coding
Interval_1030	X	531945	532144	+	0	NA	promoter-TSS (YJR052W)	protein_coding-promoter-TSS (YJR052W)	-18	YJR052W	YJR052W	YJR052W			RAD7			protein_coding
Interval_1901	XVI	930483	931026	+	0	NA	promoter-TSS (YPR196W)	protein_coding-promoter-TSS (YPR196W)	-622	YPR196W	YPR196W	YPR196W			YPR196W			protein_coding
