PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP1_peak_943	XVI	425153	425740	+	79	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	-350	YPL068C	YPL068C	YPL068C			YPL068C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_495	X	90142	90656	+	78	NA	promoter-TSS (YJL177W)	protein_coding-promoter-TSS (YJL177W)	-302	YJL178C	YJL178C	YJL178C			ATG27			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_829	XV	109104	110134	+	78	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	443	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_468	VIII	236073	236497	+	77	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	227	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_546	X	745314	745718	+	77	NA	promoter-TSS (YJR162C)	protein_coding-promoter-TSS (YJR162C)	-255	YJR162C	YJR162C	YJR162C			YJR162C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_308	V	396344	396725	+	75	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-235	YER117W	YER117W	YER117W			RPL23B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_350	VI	224869	225539	+	75	NA	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	-435	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_277	V	117598	118123	+	74	NA	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	175	RPR1	RPR1	RPR1			RPR1			ncRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_488	VIII	556362	557019	+	74	NA	TTS (YHR216W)	protein_coding-TTS (YHR216W)	352	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_318	V	441897	442641	+	74	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	282	SCR1	SCR1	SCR1			SCR1			ncRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_869	XV	619089	619647	+	73	NA	promoter-TSS (YOR153W)	protein_coding-promoter-TSS (YOR153W)	-472	YOR153W	YOR153W	YOR153W			PDR5			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_274	V	84900	85655	+	73	NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	268	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_732	XIII	551162	551863	+	73	NA	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-305	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_384	VII	384624	385135	+	73	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-228	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_695	XIII	169906	170312	+	72	NA	promoter-TSS (YML052W)	protein_coding-promoter-TSS (YML052W)	-293	YML052W	YML052W	YML052W			SUR7			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_272	V	68929	69649	+	72	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-24	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_169	IV	811779	812104	+	71	NA	promoter-TSS (YDR173C)	protein_coding-promoter-TSS (YDR173C)	-169	YDR174W	YDR174W	YDR174W			HMO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_388	VII	413126	413566	+	70	NA	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-756	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_23	II	60850	61109	+	70	NA	promoter-TSS (YBL087C)	protein_coding-promoter-TSS (YBL087C)	-240	YBL087C	YBL087C	YBL087C			RPL23A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_816	XIV	783436	784068	+	70	NA	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-211	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_18	I	229500	230204	+	69	NA	TTS (YAR073W)	protein_coding-TTS (YAR073W)	1008	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_363	VII	149013	149403	+	69	NA	promoter-TSS (YGL188C-A)	protein_coding-promoter-TSS (YGL188C-A)	-244	YGL188C-A	YGL188C-A	YGL188C-A			YGL188C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_432	VII	904963	905843	+	68	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	166	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_502	X	159743	160406	+	68	NA	promoter-TSS (YJL133C-A)	protein_coding-promoter-TSS (YJL133C-A)	-227	YJL133C-A	YJL133C-A	YJL133C-A			YJL133C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_324	V	490924	491468	+	68	NA	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-291	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_95	III	137129	137620	+	67	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-372	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_19	II	5729	6352	+	67	NA	TTS (YBL109W)	protein_coding-TTS (YBL109W)	250	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_655	XII	759029	759468	+	67	NA	promoter-TSS (YLR312C)	protein_coding-promoter-TSS (YLR312C)	-232	YLR312W-A	YLR312W-A	YLR312W-A			MRPL15			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_279	V	140462	141534	+	67	NA	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-180	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_373	VII	271251	272256	+	66	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	756	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_232	IX	99472	99877	+	66	NA	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-258	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_215	IV	1429059	1429597	+	66	NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-348	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_92	III	78086	78604	+	65	NA	promoter-TSS (YCL024W)	protein_coding-promoter-TSS (YCL024W)	-426	YCL025C	YCL025C	YCL025C			AGP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_899	XV	978381	979518	+	65	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-880	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_295	V	284447	285056	+	65	NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-529	YER064C	YER064C	YER064C			VHR2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_831	XV	160888	161429	+	64	NA	promoter-TSS (YOL085W-A)	protein_coding-promoter-TSS (YOL085W-A)	-421	YOL085W-A	YOL085W-A	YOL085W-A			YOL085W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_680	XII	1064378	1065354	+	63	NA	Intergenic	Intergenic	-1090	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_909	XVI	40330	40808	+	63	NA	promoter-TSS (YPL265W)	protein_coding-promoter-TSS (YPL265W)	-474	YPL265W	YPL265W	YPL265W			DIP5			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_246	IX	254196	254804	+	63	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-43	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_651	XII	704175	704792	+	63	NA	promoter-TSS (YLR278C)	protein_coding-promoter-TSS (YLR278C)	174	YLR279W	YLR279W	YLR279W			YLR279W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_208	IV	1359558	1359873	+	62	NA	promoter-TSS (YDR449C)	protein_coding-promoter-TSS (YDR449C)	-208	YDR450W	YDR450W	YDR450W			RPS18A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_720	XIII	408151	408860	+	62	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	-649	YMR070W	YMR070W	YMR070W			MOT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_222	IV	1468577	1469380	+	61	NA	promoter-TSS (YDR508C)	protein_coding-promoter-TSS (YDR508C)	-422	YDR510W	YDR510W	YDR510W			SMT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_484	VIII	505650	506035	+	61	NA	promoter-TSS (YHR203C)	protein_coding-promoter-TSS (YHR203C)	-312	YHR203C	YHR203C	YHR203C			RPS4B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_707	XIII	287433	287812	+	60	NA	promoter-TSS (YMR011W)	protein_coding-promoter-TSS (YMR011W)	-457	YMR011W	YMR011W	YMR011W			HXT2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_887	XV	866550	867105	+	60	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-245	YOR292C	YOR292C	YOR292C			YOR292C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_975	XVI	828866	829540	+	60	NA	promoter-TSS (YPR149W)	protein_coding-promoter-TSS (YPR149W)	-715	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_801	XIV	559214	560008	+	60	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-203	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_252	IX	316321	316651	+	60	NA	promoter-TSS (YIL018W)	protein_coding-promoter-TSS (YIL018W)	-282	YIL018W	YIL018W	YIL018W			RPL2B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_186	IV	1013758	1014062	+	60	NA	promoter-TSS (YDR276C)	protein_coding-promoter-TSS (YDR276C)	-267	YDR276C	YDR276C	YDR276C			PMP3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_440	VII	987001	987682	+	59	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-708	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_85	III	234	1034	+	59	NA	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-758	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_340	VI	95213	96008	+	59	NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-356	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_571	XI	308757	309111	+	59	NA	promoter-TSS (YKL068W-A)	protein_coding-promoter-TSS (YKL068W-A)	-272	YKL068W-A	YKL068W-A	YKL068W-A			YKL068W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_925	XVI	214342	215269	+	59	NA	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-843	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_405	VII	625148	625611	+	59	NA	promoter-TSS (YGR067C)	protein_coding-promoter-TSS (YGR067C)	-593	YGR067C	YGR067C	YGR067C			YGR067C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_91	III	68409	68815	+	58	NA	promoter-TSS (YCL030C)	protein_coding-promoter-TSS (YCL030C)	-279	YCL030C	YCL030C	YCL030C			HIS4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_555	XI	99305	100127	+	58	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-955	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_861	XV	505230	505760	+	58	NA	promoter-TSS (YOR096W)	protein_coding-promoter-TSS (YOR096W)	-299	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_568	XI	258476	258948	+	58	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	201	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_278	V	123073	123577	+	58	NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-332	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_779	XIV	281581	282058	+	57	NA	promoter-TSS (YNL190W)	protein_coding-promoter-TSS (YNL190W)	-576	YNL190W	YNL190W	YNL190W			YNL190W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_207	IV	1355587	1355954	+	57	NA	promoter-TSS (YDR447C)	protein_coding-promoter-TSS (YDR447C)	-217	YDR447C	YDR447C	YDR447C			RPS17B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_283	V	191862	192360	+	57	NA	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	-323	YER017C	YER017C	YER017C			AFG3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_870	XV	638746	639381	+	57	NA	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	204	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_913	XVI	74927	75606	+	57	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-436	YPL250W-A	YPL250W-A	YPL250W-A			YPL250W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_424	VII	809704	810115	+	57	NA	promoter-TSS (YGR161C)	protein_coding-promoter-TSS (YGR161C)	-318	YGR161W-C	YGR161W-C	YGR161W-C			YGR161W-C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_731	XIII	540147	540843	+	57	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-439	YMR135C	YMR135C	YMR135C			GID8			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_29	II	135744	136246	+	57	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	-3	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_34	II	167997	168326	+	57	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-262	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_15	I	190077	190637	+	56	NA	exon (YAR035W, exon 1 of 1)	protein_coding-exon (YAR035W, exon 1 of 1)	164	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_237	IX	174932	175145	+	56	NA	promoter-TSS (YIL102C)	protein_coding-promoter-TSS (YIL102C)	7	tT(AGU)I1	tT(AGU)I1	tT(AGU)I1			tT(AGU)I1			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_401	VII	592515	593070	+	56	NA	promoter-TSS (YGR050C)	protein_coding-promoter-TSS (YGR050C)	-350	YGR050C	YGR050C	YGR050C			YGR050C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_860	XV	494176	494791	+	56	NA	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-644	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_53	II	408495	408903	+	56	NA	promoter-TSS (YBR083W)	protein_coding-promoter-TSS (YBR083W)	-470	YBR083W	YBR083W	YBR083W			TEC1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_783	XIV	330906	331311	+	56	NA	promoter-TSS (YNL162W)	protein_coding-promoter-TSS (YNL162W)	-214	YNL162W	YNL162W	YNL162W			RPL42A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_491	X	68855	69204	+	56	NA	promoter-TSS (YJL194W)	protein_coding-promoter-TSS (YJL194W)	-247	YJL196C	YJL196C	YJL196C			ELO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_540	X	662943	663791	+	55	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-308	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_270	V	42071	42383	+	55	NA	promoter-TSS (YEL059W)	protein_coding-promoter-TSS (YEL059W)	-274	YEL060C	YEL060C	YEL060C			PRB1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_413	VII	726483	726913	+	55	NA	promoter-TSS (YGR117C)	protein_coding-promoter-TSS (YGR117C)	-219	YGR117C	YGR117C	YGR117C			YGR117C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_636	XII	490515	490975	+	55	NA	TTS (YLR162W)	protein_coding-TTS (YLR162W)	339	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_289	V	242060	242599	+	55	NA	promoter-TSS (YER045C)	protein_coding-promoter-TSS (YER045C)	-828	YER045C	YER045C	YER045C			ACA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_342	VI	106299	106746	+	55	NA	promoter-TSS (YFL014W)	protein_coding-promoter-TSS (YFL014W)	107	YFL015W-A	YFL015W-A	YFL015W-A			YFL015W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_146	IV	464993	465490	+	54	NA	promoter-TSS (YDR011W)	protein_coding-promoter-TSS (YDR011W)	142	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_635	XII	489414	489928	+	54	NA	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	98	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_974	XVI	821671	822472	+	54	NA	promoter-TSS (YPR144C)	protein_coding-promoter-TSS (YPR144C)	339	snR45	snR45	snR45			snR45			snoRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_747	XIII	797908	798368	+	54	NA	promoter-TSS (YMR265C)	protein_coding-promoter-TSS (YMR265C)	-213	YMR265C	YMR265C	YMR265C			YMR265C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_24	II	89365	89893	+	54	NA	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-73	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_61	II	477028	477529	+	54	NA	promoter-TSS (YBR117C)	protein_coding-promoter-TSS (YBR117C)	-393	YBR118W	YBR118W	YBR118W			TEF2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_159	IV	599873	600686	+	54	NA	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-514	YDR077W	YDR077W	YDR077W			SED1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_789	XIV	405693	406001	+	53	NA	promoter-TSS (YNL117W)	protein_coding-promoter-TSS (YNL117W)	-283	YNL118C	YNL118C	YNL118C			DCP2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_271	V	53292	53880	+	53	NA	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-368	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_22	II	45081	45602	+	53	NA	promoter-TSS (YBL092W)	protein_coding-promoter-TSS (YBL092W)	-423	YBL093C	YBL093C	YBL093C			ROX3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_299	V	305914	306156	+	53	NA	promoter-TSS (YER074W)	protein_coding-promoter-TSS (YER074W)	-288	YER074W	YER074W	YER074W			RPS24A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_243	IX	232376	232934	+	53	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-286	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_840	XV	253694	254127	+	53	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-333	YOL040C	YOL040C	YOL040C			RPS15			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_737	XIII	653167	653930	+	52	NA	promoter-TSS (YMR194C-A)	protein_coding-promoter-TSS (YMR194C-A)	-412	YMR194C-A	YMR194C-A	YMR194C-A			YMR194C-A			protein_coding
