# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mRp.clN.saf" "-s" "0" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam
Interval_100	II	602227	602514	+	288	6	8	8	8
Interval_101	II	604156	604412	+	257	6	13	7	15
Interval_102	II	605760	606222	+	463	10	20	13	21
Interval_103	II	614111	615410	+	1300	28	32	28	34
Interval_104	II	624829	625658	+	830	24	26	27	28
Interval_105	II	628488	628853	+	366	12	12	11	12
Interval_106	II	642659	643032	+	374	8	13	8	15
Interval_107	II	644812	645541	+	730	8	14	7	19
Interval_108	II	662377	662810	+	434	11	10	10	11
Interval_109	II	668108	668984	+	877	13	18	13	18
Interval_110	II	679942	681183	+	1242	27	24	28	25
Interval_111	II	681908	682114	+	207	6	9	7	7
Interval_112	II	697443	698030	+	588	18	18	20	21
Interval_113	II	702183	702508	+	326	8	8	10	11
Interval_114	II	706898	707298	+	401	5	6	6	8
Interval_115	II	718190	718847	+	658	0	11	1	14
Interval_116	II	738979	739783	+	805	10	7	11	7
Interval_117	II	742642	742842	+	201	2	4	4	4
Interval_118	II	760900	761240	+	341	10	12	9	15
Interval_119	II	770605	771172	+	568	13	8	13	9
Interval_120	II	798702	799266	+	565	12	18	13	17
Interval_121	III	219	1057	+	839	50	37	53	52
Interval_122	III	17014	17262	+	249	4	7	4	7
Interval_123	III	24093	24836	+	744	10	11	12	12
Interval_124	III	30476	31304	+	829	10	12	10	13
Interval_125	III	48323	48538	+	216	3	5	4	8
Interval_126	III	50336	51613	+	1278	33	25	33	27
Interval_127	III	58639	59489	+	851	8	11	8	14
Interval_128	III	61427	61767	+	341	2	7	3	8
Interval_129	III	63512	63725	+	214	2	4	2	5
Interval_130	III	68448	68821	+	374	20	20	20	24
Interval_131	III	78079	79016	+	938	23	36	25	37
Interval_132	III	82391	82607	+	217	6	7	9	7
Interval_133	III	103768	104593	+	826	13	11	13	13
Interval_134	III	107148	107349	+	202	3	5	5	6
Interval_135	III	114308	114863	+	556	2	6	2	7
Interval_136	III	122609	124026	+	1418	53	56	56	63
Interval_137	III	125049	125447	+	399	12	8	13	11
Interval_138	III	127428	127927	+	500	15	11	16	12
Interval_139	III	137083	138866	+	1784	51	57	52	63
Interval_140	III	142579	142779	+	201	2	6	2	7
Interval_141	III	147653	147853	+	201	2	4	3	3
Interval_142	III	157517	157794	+	278	6	2	8	3
Interval_143	III	163265	164271	+	1007	26	33	28	33
Interval_144	III	168236	168440	+	205	1	12	1	13
Interval_145	III	169750	170189	+	440	8	6	9	6
Interval_146	III	176656	176938	+	283	3	4	3	5
Interval_147	III	177695	179352	+	1658	29	33	29	37
Interval_148	III	211595	212181	+	587	7	8	6	7
Interval_149	III	216258	216505	+	248	1	5	3	5
Interval_150	III	223280	223789	+	510	3	13	3	14
Interval_151	III	224927	225469	+	543	11	9	13	10
Interval_152	III	227861	228918	+	1058	22	44	24	42
Interval_153	III	236465	237114	+	650	15	18	17	17
Interval_154	III	238528	238817	+	290	2	10	3	10
Interval_155	III	240505	240705	+	201	6	2	8	2
Interval_156	III	246649	246964	+	316	7	10	8	12
Interval_157	III	279853	280077	+	225	3	8	4	8
Interval_158	III	289265	289536	+	272	2	6	2	8
Interval_159	III	295383	295775	+	393	13	8	13	9
Interval_160	III	298923	299342	+	420	6	8	6	8
Interval_161	III	315770	316569	+	800	39	30	53	49
Interval_162	IV	0	812	+	813	18	12	27	26
Interval_163	IV	19925	20477	+	553	10	18	10	19
Interval_164	IV	22475	22675	+	201	4	5	3	6
Interval_165	IV	42381	42604	+	224	5	9	6	12
Interval_166	IV	49321	49654	+	334	3	3	3	6
Interval_167	IV	56684	56973	+	290	5	9	6	10
Interval_168	IV	60824	61270	+	447	4	6	6	7
Interval_169	IV	62196	62472	+	277	4	7	5	8
Interval_170	IV	73429	74229	+	801	3	5	4	5
Interval_171	IV	76901	77191	+	291	5	9	5	11
Interval_172	IV	83470	83827	+	358	6	3	6	5
Interval_173	IV	87156	87469	+	314	4	7	5	7
Interval_174	IV	98321	98734	+	414	2	5	4	7
Interval_175	IV	104667	104926	+	260	4	7	4	8
Interval_176	IV	106590	107040	+	451	4	5	3	7
Interval_177	IV	116022	116264	+	243	3	9	4	8
Interval_178	IV	117146	117619	+	474	7	10	8	11
Interval_179	IV	125176	125688	+	513	3	7	4	10
Interval_180	IV	130531	130853	+	323	12	14	15	13
Interval_181	IV	132788	133303	+	516	10	16	13	22
Interval_182	IV	147697	148092	+	396	5	9	5	9
Interval_183	IV	156010	156313	+	304	4	9	5	9
Interval_184	IV	198601	199907	+	1307	6	12	6	14
Interval_185	IV	211110	211365	+	256	4	8	5	14
Interval_186	IV	212804	213037	+	234	6	7	6	8
Interval_187	IV	215650	216137	+	488	17	18	19	22
Interval_188	IV	217178	217567	+	390	11	11	13	13
Interval_189	IV	221855	222287	+	433	13	10	15	11
Interval_190	IV	226999	227436	+	438	6	13	7	15
Interval_191	IV	228945	229660	+	716	7	13	7	15
Interval_192	IV	230759	230983	+	225	2	8	4	10
Interval_193	IV	234128	234676	+	549	10	14	11	17
Interval_194	IV	239681	240095	+	415	9	13	12	13
Interval_195	IV	264099	264312	+	214	4	4	4	5
Interval_196	IV	286794	287149	+	356	6	5	8	5
Interval_197	IV	301112	301520	+	409	2	6	2	8
Interval_198	IV	302839	303054	+	216	4	4	6	5
Interval_199	IV	307846	308432	+	587	32	28	33	35
Interval_200	IV	321521	322247	+	727	21	26	21	31
Interval_201	IV	330399	331057	+	659	16	16	18	20
Interval_202	IV	340333	341590	+	1258	16	13	17	13
Interval_203	IV	357061	357880	+	820	34	26	31	27
Interval_204	IV	363594	363869	+	276	7	10	7	11
Interval_205	IV	366178	366429	+	252	5	7	8	7
Interval_206	IV	368695	369459	+	765	23	31	24	35
Interval_207	IV	385911	387079	+	1169	26	21	27	20
Interval_208	IV	392506	392825	+	320	4	5	5	8
Interval_209	IV	410308	411702	+	1395	48	64	50	73
Interval_210	IV	417004	417363	+	360	6	7	8	7
Interval_211	IV	428767	428967	+	201	2	5	1	5
Interval_212	IV	431619	432225	+	607	4	6	4	7
Interval_213	IV	434074	434376	+	303	3	9	3	9
Interval_214	IV	437736	438214	+	479	2	12	3	13
Interval_215	IV	442713	442913	+	201	4	3	4	3
Interval_216	IV	453925	454125	+	201	2	4	3	5
Interval_217	IV	461346	461775	+	430	10	3	10	5
Interval_218	IV	464992	465551	+	560	19	26	20	30
Interval_219	IV	485230	485596	+	367	3	12	3	13
Interval_220	IV	488499	489332	+	834	10	12	14	14
Interval_221	IV	491152	491427	+	276	4	12	4	12
Interval_222	IV	501228	501836	+	609	7	7	8	8
Interval_223	IV	507138	507675	+	538	15	10	15	10
Interval_224	IV	512190	512483	+	294	4	7	4	7
Interval_225	IV	520900	521545	+	646	8	6	9	8
Interval_226	IV	524744	525320	+	577	9	14	8	15
Interval_227	IV	538855	539698	+	844	17	33	19	34
Interval_228	IV	541790	542166	+	377	4	15	4	14
Interval_229	IV	545956	546312	+	357	4	14	6	16
Interval_230	IV	550761	551478	+	718	25	36	25	41
Interval_231	IV	556583	557034	+	452	19	16	21	17
Interval_232	IV	562659	563125	+	467	8	7	10	8
Interval_233	IV	568732	569249	+	518	8	6	11	9
Interval_234	IV	573812	574073	+	262	5	6	4	7
Interval_235	IV	591611	592353	+	743	34	31	36	39
Interval_236	IV	599805	601388	+	1584	44	49	46	49
Interval_237	IV	613647	614141	+	495	1	3	3	5
Interval_238	IV	636071	636491	+	421	9	7	10	6
Interval_239	IV	645027	645325	+	299	5	6	5	7
Interval_240	IV	652392	652674	+	283	1	8	3	7
Interval_241	IV	657906	658158	+	253	1	3	2	3
Interval_242	IV	681983	682285	+	303	5	5	5	6
Interval_243	IV	690622	690961	+	340	3	6	3	8
Interval_244	IV	693716	694085	+	370	5	5	6	5
Interval_245	IV	699549	699921	+	373	8	10	8	11
Interval_246	IV	703663	704305	+	643	5	7	5	9
Interval_247	IV	721597	722894	+	1298	17	30	19	33
Interval_248	IV	746367	746585	+	219	1	5	1	5
Interval_249	IV	751086	751414	+	329	1	6	2	5
Interval_250	IV	769119	769817	+	699	18	24	22	26
Interval_251	IV	794246	794545	+	300	4	7	4	7
Interval_252	IV	802777	803045	+	269	1	1	4	3
Interval_253	IV	806134	806403	+	270	4	2	5	3
Interval_254	IV	808084	808284	+	201	1	6	2	8
Interval_255	IV	811758	812151	+	394	10	20	12	22
Interval_256	IV	835669	836518	+	850	21	30	20	35
Interval_257	IV	866826	868025	+	1200	14	17	15	17
Interval_258	IV	884356	884717	+	362	10	9	10	10
Interval_259	IV	893956	894316	+	361	8	8	9	10
Interval_260	IV	909243	909792	+	550	8	19	5	19
Interval_261	IV	914485	915857	+	1373	15	28	15	28
Interval_262	IV	926849	927193	+	345	6	14	8	14
Interval_263	IV	930440	930922	+	483	20	17	21	20
Interval_264	IV	946243	946549	+	307	3	8	6	9
Interval_265	IV	955221	955473	+	253	2	6	2	7
Interval_266	IV	959956	960304	+	349	6	9	7	9
Interval_267	IV	976210	977321	+	1112	27	27	30	27
Interval_268	IV	992746	993136	+	391	9	13	9	14
Interval_269	IV	998392	998669	+	278	6	4	7	4
Interval_270	IV	1005279	1005479	+	201	5	2	4	2
Interval_271	IV	1011288	1012119	+	832	26	29	28	32
Interval_272	IV	1013757	1014127	+	371	7	23	8	24
Interval_273	IV	1022332	1022661	+	330	3	9	3	10
Interval_274	IV	1030229	1030574	+	346	3	7	3	9
Interval_275	IV	1031762	1032192	+	431	4	6	6	8
Interval_276	IV	1050332	1050811	+	480	4	2	5	3
Interval_277	IV	1054961	1056406	+	1446	15	27	17	28
Interval_278	IV	1059105	1059356	+	252	3	1	4	1
Interval_279	IV	1075172	1075554	+	383	1	11	2	12
Interval_280	IV	1080338	1081031	+	694	17	17	19	19
Interval_281	IV	1090128	1090328	+	201	4	4	4	5
Interval_282	IV	1135462	1135719	+	258	5	6	5	8
Interval_283	IV	1150605	1150925	+	321	5	7	9	7
Interval_284	IV	1156281	1156481	+	201	2	6	1	6
Interval_285	IV	1164873	1165713	+	841	28	37	30	41
Interval_286	IV	1172127	1172477	+	351	5	9	6	9
Interval_287	IV	1174339	1175949	+	1611	14	17	14	21
Interval_288	IV	1183093	1183728	+	636	4	10	6	10
Interval_289	IV	1189729	1189943	+	215	2	4	4	4
Interval_290	IV	1194996	1195386	+	391	3	13	5	14
Interval_291	IV	1201666	1202088	+	423	6	10	6	13
Interval_292	IV	1226600	1226800	+	201	2	5	3	5
Interval_293	IV	1233741	1233941	+	201	2	6	3	7
Interval_294	IV	1242199	1243004	+	806	33	43	30	44
Interval_295	IV	1251409	1252062	+	654	11	17	10	19
Interval_296	IV	1261264	1261584	+	321	4	7	4	7
Interval_297	IV	1266559	1267382	+	824	12	14	14	16
Interval_298	IV	1269529	1270422	+	894	9	12	8	13
Interval_299	IV	1278409	1280053	+	1645	19	31	19	32
Interval_300	IV	1288989	1289294	+	306	3	4	3	7
Interval_301	IV	1300784	1301620	+	837	16	30	20	32
Interval_302	IV	1305555	1305784	+	230	3	3	5	5
Interval_303	IV	1319111	1319421	+	311	4	4	4	4
Interval_304	IV	1345313	1345603	+	291	5	11	6	12
Interval_305	IV	1355563	1355999	+	437	14	24	16	27
Interval_306	IV	1359556	1359934	+	379	19	23	19	25
Interval_307	IV	1362406	1362649	+	244	10	7	11	13
Interval_308	IV	1384748	1386092	+	1345	14	22	14	23
Interval_309	IV	1401276	1401828	+	553	21	23	21	24
Interval_310	IV	1409993	1412016	+	2024	18	29	16	30
Interval_311	IV	1419857	1420905	+	1049	9	14	11	15
Interval_312	IV	1429058	1429618	+	561	14	32	18	34
Interval_313	IV	1434394	1434713	+	320	3	10	3	12
Interval_314	IV	1445662	1446102	+	441	3	10	4	11
Interval_315	IV	1450818	1451211	+	394	8	14	9	13
Interval_316	IV	1454543	1455040	+	498	9	10	11	10
Interval_317	IV	1459507	1460083	+	577	7	13	7	14
Interval_318	IV	1461531	1462082	+	552	7	14	8	15
Interval_319	IV	1468576	1469439	+	864	39	50	38	55
Interval_320	IV	1476778	1477295	+	518	4	9	4	10
Interval_321	IV	1489638	1490998	+	1361	65	64	72	70
Interval_322	IV	1493122	1493418	+	297	16	10	15	10
Interval_323	IV	1496687	1496946	+	260	4	10	3	13
Interval_324	IV	1502242	1502704	+	463	12	6	12	8
Interval_325	IV	1506870	1507641	+	772	11	16	12	20
Interval_326	IV	1517891	1518227	+	337	6	2	6	3
Interval_327	IV	1524706	1525614	+	909	55	60	63	77
Interval_328	IX	5	211	+	207	7	3	15	7
Interval_329	IX	21693	22218	+	526	10	10	10	13
Interval_330	IX	28239	28677	+	439	5	2	6	4
Interval_331	IX	36577	37177	+	601	1	18	2	19
Interval_332	IX	53435	54318	+	884	2	14	2	15
Interval_333	IX	68245	68762	+	518	15	40	17	41
Interval_334	IX	77420	77880	+	461	4	1	5	3
Interval_335	IX	84875	85058	+	184	2	4	3	4
Interval_336	IX	96412	96781	+	370	5	10	6	13
Interval_337	IX	99440	99914	+	475	29	30	30	34
Interval_338	IX	102317	102602	+	286	5	12	5	15
Interval_339	IX	106065	106321	+	257	2	0	4	1
Interval_340	IX	117744	118007	+	264	6	5	9	6
Interval_341	IX	127780	128030	+	251	5	5	5	9
Interval_342	IX	131838	132137	+	300	8	8	8	10
Interval_343	IX	138294	139507	+	1214	45	47	48	50
Interval_344	IX	141911	142769	+	859	10	12	11	14
Interval_345	IX	160003	160503	+	501	2	8	2	10
Interval_346	IX	165973	166305	+	333	19	7	20	8
Interval_347	IX	169797	170031	+	235	4	3	5	4
Interval_348	IX	174931	175161	+	231	6	11	8	15
Interval_349	IX	177499	177944	+	446	15	12	17	14
Interval_350	IX	183284	183486	+	203	1	2	2	3
Interval_351	IX	197511	197830	+	320	7	11	7	14
Interval_352	IX	199555	199854	+	300	2	5	4	5
Interval_353	IX	210582	210881	+	300	7	9	8	10
Interval_354	IX	215938	216602	+	665	10	7	10	7
Interval_355	IX	222557	222870	+	314	5	11	6	13
Interval_356	IX	232362	232934	+	573	34	25	36	28
Interval_357	IX	241741	241984	+	244	1	7	0	8
Interval_358	IX	248689	249714	+	1026	44	68	49	75
Interval_359	IX	254169	254804	+	636	46	54	52	60
Interval_360	IX	257190	257630	+	441	22	24	23	29
Interval_361	IX	258352	258739	+	388	10	21	11	21
Interval_362	IX	267842	268955	+	1114	22	31	22	31
Interval_363	IX	273775	274089	+	315	4	4	5	5
Interval_364	IX	291848	292338	+	491	2	6	3	6
Interval_365	IX	299930	300240	+	311	5	7	6	7
Interval_366	IX	310792	311159	+	368	4	9	5	10
Interval_367	IX	316313	316688	+	376	15	20	17	22
Interval_368	IX	321862	322157	+	296	7	8	8	9
Interval_369	IX	325579	326042	+	464	4	13	5	14
Interval_370	IX	332656	333546	+	891	29	31	35	36
Interval_371	IX	336113	336489	+	377	6	14	9	17
Interval_372	IX	338254	339208	+	955	28	15	29	17
Interval_373	IX	360205	360745	+	541	5	11	6	13
Interval_374	IX	370112	370441	+	330	0	6	0	7
Interval_375	IX	378217	378501	+	285	3	8	4	8
Interval_376	IX	381788	382542	+	755	21	18	22	21
Interval_377	IX	383840	384532	+	693	23	21	24	22
Interval_378	IX	386483	386965	+	483	17	27	18	28
Interval_379	IX	388421	389180	+	760	20	12	21	12
Interval_380	IX	394823	395184	+	362	7	3	9	3
Interval_381	IX	415013	416130	+	1118	8	24	9	24
Interval_382	IX	421616	422398	+	783	6	10	6	10
Interval_383	IX	427297	427686	+	390	12	3	14	5
Interval_384	IX	439140	439888	+	749	74	60	83	78
Interval_385	V	6117	6831	+	715	19	30	21	39
Interval_386	V	9647	9954	+	308	5	8	8	10
Interval_387	V	13068	13489	+	422	3	6	4	8
Interval_388	V	15737	16406	+	670	8	8	11	8
Interval_389	V	18888	19210	+	323	3	7	3	8
Interval_390	V	26563	27550	+	988	11	12	11	14
Interval_391	V	33773	34045	+	273	3	7	3	10
Interval_392	V	42041	42775	+	735	20	18	22	19
Interval_393	V	51702	51964	+	263	7	5	7	5
Interval_394	V	53264	53977	+	714	35	32	40	36
Interval_395	V	60919	61915	+	997	10	8	11	9
Interval_396	V	68632	70314	+	1683	70	77	85	81
Interval_397	V	77472	77860	+	389	7	8	9	10
Interval_398	V	84813	85656	+	844	49	62	56	76
Interval_399	V	99357	100502	+	1146	13	20	15	21
Interval_400	V	106809	107272	+	464	4	13	4	14
Interval_401	V	117459	118179	+	721	28	35	33	38
Interval_402	V	123072	123644	+	573	23	30	24	36
Interval_403	V	130886	131625	+	740	7	8	9	12
Interval_404	V	140507	141585	+	1079	74	73	85	75
Interval_405	V	152605	153379	+	775	22	18	24	19
Interval_406	V	159352	159552	+	201	3	2	4	3
Interval_407	V	174697	175041	+	345	7	16	8	17
Interval_408	V	177114	177694	+	581	10	7	11	6
Interval_409	V	191866	192441	+	576	22	31	23	32
Interval_410	V	194563	195019	+	457	7	12	8	12
Interval_411	V	211718	212375	+	658	12	15	12	14
Interval_412	V	221530	222610	+	1081	24	37	24	39
Interval_413	V	225308	225657	+	350	7	11	8	14
Interval_414	V	237196	237396	+	201	4	3	5	4
Interval_415	V	241962	242970	+	1009	26	29	27	31
Interval_416	V	248218	248418	+	201	3	3	4	3
Interval_417	V	250218	250488	+	271	3	2	4	3
Interval_418	V	254148	254600	+	453	4	6	5	6
Interval_419	V	259990	260355	+	366	4	9	3	10
Interval_420	V	261401	261754	+	354	5	6	3	7
Interval_421	V	266117	266466	+	350	10	10	10	13
Interval_422	V	268375	269062	+	688	22	27	24	27
Interval_423	V	270188	270567	+	380	21	14	21	15
Interval_424	V	280907	281494	+	588	18	33	17	36
Interval_425	V	284446	285082	+	637	28	44	28	45
Interval_426	V	287385	287644	+	260	4	5	5	5
Interval_427	V	292772	293000	+	229	5	8	5	9
Interval_428	V	295046	295734	+	689	8	12	8	14
Interval_429	V	298362	298602	+	241	6	4	6	6
Interval_430	V	303280	303866	+	587	30	16	32	16
Interval_431	V	305907	306143	+	237	5	16	5	17
Interval_432	V	311417	312109	+	693	17	27	18	25
Interval_433	V	321890	322224	+	335	4	6	6	7
Interval_434	V	322987	323875	+	889	3	12	3	12
Interval_435	V	335301	336061	+	761	28	28	31	34
Interval_436	V	342453	343487	+	1035	24	27	26	27
Interval_437	V	349238	349935	+	698	13	14	14	16
Interval_438	V	354697	355528	+	832	23	22	30	26
Interval_439	V	362271	362642	+	372	17	14	20	14
Interval_440	V	377825	378073	+	249	5	6	5	6
Interval_441	V	386748	387126	+	379	9	3	10	3
Interval_442	V	396302	396734	+	433	27	27	32	32
Interval_443	V	400774	401169	+	396	6	12	6	13
Interval_444	V	409147	409653	+	507	11	11	11	9
Interval_445	V	414112	414346	+	235	2	6	3	6
Interval_446	V	422059	423519	+	1461	32	29	34	28
Interval_447	V	430888	431399	+	512	14	13	15	18
Interval_448	V	434389	434602	+	214	6	12	6	15
Interval_449	V	435500	435960	+	461	10	25	14	28
Interval_450	V	438997	439469	+	473	11	24	13	27
Interval_451	V	441873	442658	+	786	49	65	52	74
Interval_452	V	461748	463206	+	1459	29	41	34	41
Interval_453	V	467585	468141	+	557	10	13	12	16
Interval_454	V	469066	469439	+	374	2	4	4	4
Interval_455	V	473743	475225	+	1483	14	28	14	29
Interval_456	V	482905	483900	+	996	10	21	11	22
Interval_457	V	490848	491562	+	715	33	37	39	38
Interval_458	V	492291	492491	+	201	2	9	3	9
Interval_459	V	498865	499146	+	282	4	3	5	4
Interval_460	V	503011	503900	+	890	4	11	4	11
Interval_461	V	509707	510020	+	314	1	3	5	3
Interval_462	V	517497	517767	+	271	5	5	6	6
Interval_463	V	522835	523235	+	401	6	11	7	9
Interval_464	V	544624	545507	+	884	18	20	16	21
Interval_465	V	546612	547377	+	766	7	8	6	10
Interval_466	V	551072	551431	+	360	1	10	1	10
Interval_467	V	558939	559349	+	411	8	8	11	8
Interval_468	V	569806	570650	+	845	44	58	65	75
Interval_469	VI	4481	5298	+	818	66	60	80	73
Interval_470	VI	16487	16966	+	480	6	5	9	6
Interval_471	VI	27880	28170	+	291	1	9	1	9
Interval_472	VI	31067	31327	+	261	7	4	8	5
Interval_473	VI	31978	32194	+	217	3	6	2	6
Interval_474	VI	54522	55287	+	766	16	15	19	18
Interval_475	VI	56059	56312	+	254	6	9	9	10
Interval_476	VI	65044	65236	+	193	4	4	4	3
Interval_477	VI	74719	75061	+	343	6	12	6	15
Interval_478	VI	76539	77490	+	952	6	16	7	17
Interval_479	VI	82018	82509	+	492	12	18	14	19
Interval_480	VI	90272	90991	+	720	18	28	21	33
Interval_481	VI	95212	96018	+	807	28	49	33	52
Interval_482	VI	101127	101513	+	387	2	15	2	17
Interval_483	VI	106252	106765	+	514	19	25	21	28
Interval_484	VI	109938	110138	+	201	2	8	2	7
Interval_485	VI	129822	130023	+	202	2	3	3	3
Interval_486	VI	149836	150036	+	201	3	4	4	5
Interval_487	VI	157759	158078	+	320	5	9	6	10
Interval_488	VI	162159	162574	+	416	9	5	9	5
