PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T0_PE_REP2_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T0_PE_REP2_peak_448	XIII	5474	5690	+	75	NA	promoter-TSS (YML133C)	protein_coding-promoter-TSS (YML133C)	-898	YML133C	YML133C	YML133C			YML133C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_206	V	569884	570603	+	74	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-336	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_294	VIII	122151	122772	+	69	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	304	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_173	V	140593	141585	+	68	NA	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-271	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_284	VII	1083870	1084491	+	67	NA	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-684	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_88	IV	307902	308337	+	67	NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-305	YDL082W	YDL082W	YDL082W			RPL13A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_168	V	68733	69712	+	65	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	43	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_546	XV	253711	254119	+	65	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-338	YOL040C	YOL040C	YOL040C			RPS15			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_194	V	396372	396628	+	65	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-269	YER117W	YER117W	YER117W			RPL23B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_15	I	229418	230168	+	64	NA	TTS (YAR073W)	protein_coding-TTS (YAR073W)	949	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_233	VII	271399	272137	+	62	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-752	YGL125W	YGL125W	YGL125W			MET13			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_166	V	53367	53801	+	61	NA	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-366	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_140	IV	1524858	1525544	+	61	NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	-268	YDR543C	YDR543C	YDR543C			YDR543C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_64	III	68535	68771	+	59	NA	promoter-TSS (YCL030C)	protein_coding-promoter-TSS (YCL030C)	-320	YCL030C	YCL030C	YCL030C			HIS4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_171	V	117536	118091	+	59	NA	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	222	RPR1	RPR1	RPR1			RPR1			ncRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_446	XII	1064515	1065412	+	58	NA	promoter-TSS (YLR462W)	protein_coding-promoter-TSS (YLR462W)	-993	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_457	XIII	146092	146377	+	58	NA	promoter-TSS (YML063W)	protein_coding-promoter-TSS (YML063W)	-248	YML063W	YML063W	YML063W			RPS1B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_602	XVI	214323	215179	+	56	NA	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-789	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_147	IX	166006	166298	+	56	NA	promoter-TSS (YIL106W)	protein_coding-promoter-TSS (YIL106W)	-263	YIL106W	YIL106W	YIL106W			MOB1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_531	XIV	783556	784048	+	55	NA	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-261	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_172	V	123254	123601	+	55	NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-230	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_471	XIII	407727	408855	+	54	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	582	YMR069W	YMR069W	YMR069W			NAT4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_17	II	5656	6374	+	54	NA	exon (YBL109W, exon 1 of 1)	protein_coding-exon (YBL109W, exon 1 of 1)	225	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_22	II	89540	89858	+	54	NA	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-143	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_76	IV	93	606	+	54	NA	Intergenic	Intergenic	-1453	YDL248W	YDL248W	YDL248W			COS7			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_577	XV	866667	867052	+	53	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-239	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_344	X	703210	704077	+	53	NA	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-242	YJR146W	YJR146W	YJR146W			YJR146W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_342	X	663010	663502	+	52	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-197	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_203	V	490863	491494	+	52	NA	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-309	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_241	VII	397892	398476	+	51	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-444	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_192	V	362295	362619	+	51	NA	promoter-TSS (YER101C)	protein_coding-promoter-TSS (YER101C)	-643	YER102W	YER102W	YER102W			RPS8B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_301	VIII	236163	236534	+	51	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	164	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_440	XII	924600	925081	+	51	NA	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-49	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_378	XI	431285	431779	+	50	NA	promoter-TSS (YKL006C-A)	protein_coding-promoter-TSS (YKL006C-A)	-374	YKL006W	YKL006W	YKL006W			RPL14A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_239	VII	371078	371467	+	49	NA	promoter-TSS (YGL071W)	protein_coding-promoter-TSS (YGL071W)	90	YGL072C	YGL072C	YGL072C			YGL072C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_410	XII	423989	424849	+	49	NA	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	736	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_453	XIII	69837	70352	+	49	NA	promoter-TSS (YML100W)	protein_coding-promoter-TSS (YML100W)	-6	YML101C	YML101C	YML101C			CUE4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_586	XV	978468	979459	+	49	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-894	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_150	IX	232443	232930	+	49	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-317	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_273	VII	919724	920438	+	49	NA	promoter-TSS (YGR213C)	protein_coding-promoter-TSS (YGR213C)	-494	YGR214W	YGR214W	YGR214W			RPS0A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_199	V	442039	443118	+	48	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	591	SCR1	SCR1	SCR1			SCR1			ncRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_263	VII	774440	774693	+	47	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	217	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_392	XII	11058	11851	+	47	NA	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-272	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_463	XIII	271629	272117	+	47	NA	promoter-TSS (YMR001C)	protein_coding-promoter-TSS (YMR001C)	-296	YMR001C-A	YMR001C-A	YMR001C-A			YMR001C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_259	VII	726492	726882	+	46	NA	promoter-TSS (YGR117C)	protein_coding-promoter-TSS (YGR117C)	-208	YGR117C	YGR117C	YGR117C			YGR117C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_104	IV	556620	556930	+	46	NA	promoter-TSS (YDR050C)	protein_coding-promoter-TSS (YDR050C)	-303	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_570	XV	742293	742592	+	46	NA	promoter-TSS (YOR211C)	protein_coding-promoter-TSS (YOR211C)	-468	YOR212W	YOR212W	YOR212W			STE4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_152	IX	254243	254695	+	46	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-74	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_511	XIV	427034	427487	+	46	NA	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-475	YNL103W	YNL103W	YNL103W			MET4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_240	VII	384633	385136	+	46	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-233	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_103	IV	550880	551376	+	45	NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-552	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_634	XVI	942547	942926	+	45	NA	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-296	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_492	XIII	914895	915522	+	44	NA	promoter-TSS (YMR319C)	protein_coding-promoter-TSS (YMR319C)	-670	YMR319C	YMR319C	YMR319C			FET4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_105	IV	591621	592330	+	44	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-464	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_538	XV	109288	110164	+	44	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	550	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_25	II	135799	136256	+	43	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	29	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_289	VIII	48228	48653	+	43	NA	promoter-TSS (YHL028W)	protein_coding-promoter-TSS (YHL028W)	-323	YHL028W	YHL028W	YHL028W			WSC4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_478	XIII	551287	551839	+	42	NA	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-356	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_494	XIV	6668	7336	+	42	NA	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-163	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_191	V	354938	355329	+	42	NA	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	-7	YER097W	YER097W	YER097W			YER097W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_534	XV	27501	28089	+	42	NA	TTS (YOL155C)	protein_coding-TTS (YOL155C)	711	YOL155W-A	YOL155W-A	YOL155W-A			YOL155W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_312	VIII	556197	557026	+	42	NA	TTS (YHR216W)	protein_coding-TTS (YHR216W)	431	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_66	III	123343	123994	+	42	NA	promoter-TSS (YCR006C)	protein_coding-promoter-TSS (YCR006C)	-20	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_631	XVI	856928	857146	+	41	NA	promoter-TSS (YPR158C-C)	protein_coding-promoter-TSS (YPR158C-C)	135	tA(AGC)P	tA(AGC)P	tA(AGC)P			tA(AGC)P			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_144	IX	99638	99861	+	41	NA	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-333	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_329	X	360715	360976	+	41	NA	promoter-TSS (YJL042W)	protein_coding-promoter-TSS (YJL042W)	-404	YJL042W	YJL042W	YJL042W			MHP1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_590	XV	1084241	1084472	+	41	NA	promoter-TSS (YOR394C-A)	protein_coding-promoter-TSS (YOR394C-A)	13	YOR394C-A	YOR394C-A	YOR394C-A			YOR394C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_456	XIII	124253	124531	+	41	NA	promoter-TSS (YML073C)	protein_coding-promoter-TSS (YML073C)	-220	YML073C	YML073C	YML073C			RPL6A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_595	XVI	55957	56517	+	40	NA	promoter-TSS (YPL257W-A)	protein_coding-promoter-TSS (YPL257W-A)	37	tW(CCA)P	tW(CCA)P	tW(CCA)P			tW(CCA)P			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_95	IV	411041	411609	+	40	NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-500	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_200	V	461928	462899	+	40	NA	promoter-TSS (YER145C)	protein_coding-promoter-TSS (YER145C)	-172	YER146W	YER146W	YER146W			LSM5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_5	I	68172	68552	+	40	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-842	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_399	XII	187367	187680	+	40	NA	promoter-TSS (YLR023C)	protein_coding-promoter-TSS (YLR023C)	-394	YLR023C	YLR023C	YLR023C			IZH3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_627	XVI	812801	813049	+	40	NA	promoter-TSS (YPR138C)	protein_coding-promoter-TSS (YPR138C)	-472	YPR138C	YPR138C	YPR138C			MEP3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_474	XIII	472857	473324	+	39	NA	promoter-TSS (YMR102C)	protein_coding-promoter-TSS (YMR102C)	174	YMR103C	YMR103C	YMR103C			YMR103C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_467	XIII	306215	306868	+	39	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-948	YMR016C	YMR016C	YMR016C			SOK2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_316	X	90267	90645	+	39	NA	promoter-TSS (YJL177W)	protein_coding-promoter-TSS (YJL177W)	-330	YJL177W	YJL177W	YJL177W			RPL17B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_242	VII	413208	413572	+	39	NA	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-712	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_74	III	295507	295966	+	39	NA	TTS (tT(AGU)C)	tRNA-TTS (tT(AGU)C)	252	tT(AGU)C	tT(AGU)C	tT(AGU)C			tT(AGU)C			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_518	XIV	559260	559583	+	39	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-393	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_137	IV	1468694	1469246	+	39	NA	promoter-TSS (YDR508C)	protein_coding-promoter-TSS (YDR508C)	-430	YDR510W	YDR510W	YDR510W			SMT3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_3	I	45395	45821	+	39	NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-291	YAL053W	YAL053W	YAL053W			FLC2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_470	XIII	388078	388570	+	39	NA	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-80	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_272	VII	905012	905812	+	39	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	175	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_252	VII	555497	555697	+	38	NA	promoter-TSS (YGR033C)	protein_coding-promoter-TSS (YGR033C)	-215	YGR034W	YGR034W	YGR034W			RPL26B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_449	XIII	26020	26640	+	38	NA	promoter-TSS (YML121W)	protein_coding-promoter-TSS (YML121W)	88	YML122C	YML122C	YML122C			YML122C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_186	V	303281	303682	+	38	NA	promoter-TSS (YER073W)	protein_coding-promoter-TSS (YER073W)	-549	YER073W	YER073W	YER073W			ALD5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_374	XI	355380	356232	+	38	NA	promoter-TSS (YKL043W)	protein_coding-promoter-TSS (YKL043W)	-516	YKL044W	YKL044W	YKL044W			YKL044W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_445	XII	1028061	1028760	+	38	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-444	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_68	III	163459	163966	+	38	NA	promoter-TSS (YCR024C-A)	protein_coding-promoter-TSS (YCR024C-A)	144	YCR025C	YCR025C	YCR025C			YCR025C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_278	VII	1000103	1000721	+	38	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-515	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_151	IX	248839	249559	+	37	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	349	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_608	XVI	425280	426000	+	37	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	207	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_16	II	76	353	+	37	NA	promoter-TSS (YBL113W-A)	protein_coding-promoter-TSS (YBL113W-A)	-432	YBL113W-A	YBL113W-A	YBL113W-A			YBL113W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_123	IV	1164876	1165387	+	37	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-471	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_365	XI	258426	258832	+	37	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	284	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_587	XV	987692	988513	+	37	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	680	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_10	I	165809	166474	+	37	NA	promoter-TSS (YAR010C)	protein_coding-promoter-TSS (YAR010C)	-126	tA(UGC)A	tA(UGC)A	tA(UGC)A			TGA1			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_9	I	141753	142140	+	37	NA	promoter-TSS (YAL003W)	protein_coding-promoter-TSS (YAL003W)	-228	YAL003W	YAL003W	YAL003W			EFB1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_223	VII	23339	23735	+	36	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-398	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_38	II	378696	378988	+	36	NA	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-409	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_122	IV	1150640	1150925	+	36	NA	promoter-TSS (YDR339C)	protein_coding-promoter-TSS (YDR339C)	-99	YDR340W	YDR340W	YDR340W			YDR340W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_441	XII	931700	932690	+	35	NA	promoter-TSS (YLR406C)	protein_coding-promoter-TSS (YLR406C)	160	YLR406C-A	YLR406C-A	YLR406C-A			YLR406C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_135	IV	1429197	1429464	+	35	NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-350	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
