# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam
Interval_60	II	186467	186806	+	340	1	3	18	2	3	22
Interval_61	II	191728	192287	+	560	6	10	17	7	9	20
Interval_62	II	193419	194227	+	809	17	21	51	18	19	63
Interval_63	II	197276	197559	+	284	2	8	4	1	8	4
Interval_64	II	201750	203582	+	1833	34	37	89	36	41	95
Interval_65	II	216332	217422	+	1091	8	11	35	8	12	36
Interval_66	II	221347	221558	+	212	6	2	5	8	4	8
Interval_67	II	227105	227513	+	409	3	8	18	8	9	25
Interval_68	II	234943	236587	+	1645	19	20	21	19	22	22
Interval_69	II	242368	242713	+	346	2	1	9	1	2	11
Interval_70	II	247743	247979	+	237	0	1	6	0	1	8
Interval_71	II	251031	251628	+	598	13	12	25	14	14	30
Interval_72	II	255769	256429	+	661	12	27	21	13	27	23
Interval_73	II	258066	258271	+	206	4	1	11	6	2	12
Interval_74	II	266280	267639	+	1360	2	5	39	2	6	40
Interval_75	II	269691	270253	+	563	4	2	32	5	3	39
Interval_76	II	275663	275878	+	216	1	3	9	1	4	11
Interval_77	II	278414	278696	+	283	6	4	18	6	6	22
Interval_78	II	280966	281318	+	353	1	5	15	1	5	20
Interval_79	II	288176	288539	+	364	5	1	13	5	2	13
Interval_80	II	292033	292545	+	513	2	5	11	3	6	15
Interval_81	II	297704	297911	+	208	3	2	7	2	2	9
Interval_82	II	297966	298143	+	178	0	4	4	1	5	2
Interval_83	II	301479	301824	+	346	4	3	14	4	4	16
Interval_84	II	307064	308222	+	1159	1	8	25	1	7	28
Interval_85	II	310407	310607	+	201	4	5	9	5	4	14
Interval_86	II	324159	324562	+	404	2	5	10	3	3	13
Interval_87	II	326627	326940	+	314	4	7	9	7	8	14
Interval_88	II	332443	332819	+	377	10	13	24	9	14	25
Interval_89	II	336781	337332	+	552	4	17	31	7	19	33
Interval_90	II	340638	340826	+	189	1	0	8	2	0	10
Interval_91	II	341467	342431	+	965	14	27	46	15	27	49
Interval_92	II	347392	347776	+	385	5	2	16	6	4	16
Interval_93	II	350782	351167	+	386	5	5	18	5	6	29
Interval_94	II	356079	356907	+	829	9	7	24	11	7	27
Interval_95	II	370815	371587	+	773	12	15	54	11	15	63
Interval_96	II	373668	374416	+	749	14	5	17	16	7	20
Interval_97	II	375797	376340	+	544	12	19	75	11	20	77
Interval_98	II	378619	379231	+	613	14	23	50	17	29	57
Interval_99	II	381415	381678	+	264	0	0	17	0	2	21
Interval_100	II	391551	392853	+	1303	23	29	76	27	29	76
Interval_101	II	400870	401257	+	388	2	4	14	3	4	16
Interval_102	II	405948	406279	+	332	5	5	15	8	9	25
Interval_103	II	407367	408997	+	1631	22	32	84	22	33	89
Interval_104	II	415278	415846	+	569	18	19	48	20	20	55
Interval_105	II	418243	418453	+	211	3	7	16	4	6	21
Interval_106	II	419318	420010	+	693	4	7	68	5	8	70
Interval_107	II	426572	427433	+	862	12	24	52	13	27	63
Interval_108	II	429236	429562	+	327	2	8	10	2	9	11
Interval_109	II	435563	435849	+	287	4	0	8	5	0	11
Interval_110	II	444725	444998	+	274	5	6	11	5	8	14
Interval_111	II	452165	452690	+	526	10	11	30	13	11	34
Interval_112	II	454227	454928	+	702	3	9	9	3	9	10
Interval_113	II	458474	458742	+	269	5	3	12	5	4	12
Interval_114	II	461808	462087	+	280	2	4	15	2	4	20
Interval_115	II	466037	467193	+	1157	19	34	96	19	35	104
Interval_116	II	474104	474478	+	375	7	7	15	8	8	16
Interval_117	II	476339	477593	+	1255	23	29	74	25	30	83
Interval_118	II	481011	481302	+	292	0	4	13	0	4	13
Interval_119	II	483526	483832	+	307	4	5	6	8	5	6
Interval_120	II	490079	491118	+	1040	9	22	94	9	20	97
Interval_121	II	501158	501800	+	643	0	1	23	0	1	25
Interval_122	II	504422	504869	+	448	7	12	27	7	14	30
Interval_123	II	515425	515625	+	201	1	3	11	1	4	13
Interval_124	II	532231	532431	+	201	2	1	11	2	1	12
Interval_125	II	539817	540085	+	269	5	2	13	6	1	16
Interval_126	II	544560	544882	+	323	1	3	18	3	4	20
Interval_127	II	554737	556178	+	1442	44	49	88	50	51	92
Interval_128	II	560925	561692	+	768	7	9	32	8	9	34
Interval_129	II	564841	565652	+	812	14	18	38	15	18	41
Interval_130	II	577458	578220	+	763	1	4	17	1	5	18
Interval_131	II	581467	582551	+	1085	3	8	20	1	8	26
Interval_132	II	586243	586490	+	248	3	2	12	3	2	14
Interval_133	II	589073	589616	+	544	8	9	24	8	9	26
Interval_134	II	592751	593137	+	387	10	12	37	11	12	39
Interval_135	II	595565	596004	+	440	6	16	55	7	17	62
Interval_136	II	602093	602514	+	422	7	8	24	9	8	29
Interval_137	II	604156	604493	+	338	6	14	20	7	16	24
Interval_138	II	605815	606218	+	404	10	19	44	13	20	48
Interval_139	II	614051	615767	+	1717	28	37	86	28	38	100
Interval_140	II	624791	625658	+	868	24	26	51	27	28	59
Interval_141	II	628471	628879	+	409	12	12	46	11	12	50
Interval_142	II	633479	633857	+	379	1	1	10	1	0	12
Interval_143	II	642514	643303	+	790	8	14	35	8	16	36
Interval_144	II	644812	645469	+	658	8	14	9	7	19	15
Interval_145	II	650120	651737	+	1618	5	9	46	6	10	47
Interval_146	II	661942	663160	+	1219	11	13	43	11	16	48
Interval_147	II	668101	668984	+	884	13	18	26	13	18	26
Interval_148	II	680021	681135	+	1115	25	21	56	27	24	58
Interval_149	II	681783	682291	+	509	6	9	27	7	10	32
Interval_150	II	697149	698008	+	860	20	20	37	22	22	39
Interval_151	II	702131	702834	+	704	10	11	33	10	12	37
Interval_152	II	706898	707298	+	401	5	6	9	6	8	11
Interval_153	II	718126	718908	+	783	0	12	18	1	14	23
Interval_154	II	722730	723084	+	355	2	1	8	2	1	8
Interval_155	II	726822	727155	+	334	4	1	6	4	1	7
Interval_156	II	728208	728786	+	579	2	4	18	2	2	20
Interval_157	II	734655	734859	+	205	1	1	5	1	1	11
Interval_158	II	735943	736158	+	216	0	3	8	0	3	10
Interval_159	II	741105	741350	+	246	3	2	8	4	3	11
Interval_160	II	760791	761247	+	457	10	13	10	9	15	13
Interval_161	II	770579	771168	+	590	12	8	38	13	9	42
Interval_162	II	776253	776671	+	419	2	4	10	3	4	14
Interval_163	II	792123	792299	+	177	0	4	6	0	6	6
Interval_164	II	798740	799285	+	546	11	18	19	13	17	21
Interval_165	II	804817	805237	+	421	2	2	13	2	2	15
Interval_166	III	225	1046	+	822	50	36	46	53	52	60
Interval_167	III	17004	17256	+	253	4	7	13	4	7	17
Interval_168	III	24115	24720	+	606	8	11	21	11	12	21
Interval_169	III	27448	27745	+	298	0	1	9	1	1	10
Interval_170	III	30500	31372	+	873	10	13	12	10	14	12
Interval_171	III	40599	41150	+	552	3	2	13	3	2	15
Interval_172	III	48308	48524	+	217	3	5	11	3	8	12
Interval_173	III	50330	51246	+	917	26	22	60	25	23	67
Interval_174	III	51929	52672	+	744	3	4	28	4	4	34
Interval_175	III	58639	59491	+	853	8	11	15	8	14	19
Interval_176	III	63512	63687	+	176	2	4	0	2	4	1
Interval_177	III	68408	68815	+	408	20	21	15	20	25	17
Interval_178	III	77645	79035	+	1391	26	38	100	28	38	99
Interval_179	III	82391	82600	+	210	6	7	2	9	7	2
Interval_180	III	103264	104537	+	1274	16	15	32	16	17	31
Interval_181	III	105698	105878	+	181	2	3	6	1	7	5
Interval_182	III	107158	107373	+	216	3	6	7	5	7	8
Interval_183	III	114426	114779	+	354	1	1	9	2	2	10
Interval_184	III	122532	124004	+	1473	53	56	95	55	64	106
Interval_185	III	127648	127930	+	283	7	8	15	12	7	16
Interval_186	III	131707	132004	+	298	2	1	8	2	1	12
Interval_187	III	133338	133742	+	405	5	6	25	5	7	28
Interval_188	III	137106	137803	+	698	32	36	68	34	43	79
Interval_189	III	138387	138697	+	311	8	8	5	8	11	7
Interval_190	III	142645	142878	+	234	1	8	5	2	8	4
Interval_191	III	157517	158744	+	1228	10	8	30	11	8	32
Interval_192	III	163262	164418	+	1157	29	34	51	30	35	57
Interval_193	III	168220	168441	+	222	1	12	6	1	13	8
Interval_194	III	169750	170045	+	296	6	6	3	7	6	4
Interval_195	III	176584	177264	+	681	11	4	20	12	5	23
Interval_196	III	177635	179347	+	1713	28	34	39	28	38	41
Interval_197	III	210287	210526	+	240	1	3	14	3	3	14
Interval_198	III	211334	211857	+	524	6	5	29	6	5	30
Interval_199	III	214185	214485	+	301	2	1	8	3	1	8
Interval_200	III	216127	216722	+	596	2	7	20	3	8	22
Interval_201	III	223322	223812	+	491	3	13	14	3	14	15
Interval_202	III	224935	225552	+	618	11	9	24	13	11	26
Interval_203	III	227835	229041	+	1207	23	47	57	25	44	63
Interval_204	III	236277	237113	+	837	17	18	30	19	17	35
Interval_205	III	238345	238929	+	585	4	11	23	6	13	24
Interval_206	III	240507	240832	+	326	8	2	11	8	2	12
Interval_207	III	246655	247052	+	398	7	11	19	8	12	24
Interval_208	III	262692	263052	+	361	2	5	16	2	6	18
Interval_209	III	266366	267043	+	678	2	4	16	2	3	16
Interval_210	III	279842	280069	+	228	3	8	9	4	8	9
Interval_211	III	295416	295966	+	551	12	8	18	14	9	19
Interval_212	III	298931	299394	+	464	6	8	14	6	8	15
Interval_213	III	310255	311044	+	790	2	4	13	3	4	16
Interval_214	III	315713	316569	+	857	39	30	37	53	49	49
Interval_215	IV	0	812	+	813	18	12	16	27	26	24
Interval_216	IV	19941	20466	+	526	10	18	18	10	19	19
Interval_217	IV	22526	22751	+	226	3	5	7	2	5	7
Interval_218	IV	42383	43399	+	1017	6	13	17	7	18	19
Interval_219	IV	45195	46063	+	869	9	6	2	11	7	2
Interval_220	IV	47765	48097	+	333	2	3	13	2	4	14
Interval_221	IV	48998	49395	+	398	3	4	9	4	5	12
Interval_222	IV	49415	49728	+	314	2	5	5	2	5	5
Interval_223	IV	56712	56965	+	254	4	9	6	6	10	7
Interval_224	IV	60998	61183	+	186	3	3	6	5	4	5
Interval_225	IV	61624	62761	+	1138	6	11	101	6	11	115
Interval_226	IV	70258	70452	+	195	1	0	8	1	0	11
Interval_227	IV	74210	74549	+	340	2	4	19	3	4	19
Interval_228	IV	76753	77438	+	686	7	10	56	7	11	59
Interval_229	IV	83523	83901	+	379	6	4	16	6	5	19
Interval_230	IV	87254	87454	+	201	4	7	9	5	6	10
Interval_231	IV	89735	90217	+	483	0	3	12	0	4	15
Interval_232	IV	94224	94521	+	298	1	0	13	1	0	16
Interval_233	IV	97987	98593	+	607	2	7	16	4	9	20
Interval_234	IV	104549	104869	+	321	4	8	12	4	9	14
Interval_235	IV	106543	107223	+	681	5	8	27	5	10	30
Interval_236	IV	115984	116254	+	271	3	9	7	4	8	6
Interval_237	IV	117286	117695	+	410	6	9	31	8	11	35
Interval_238	IV	130263	130901	+	639	17	16	33	15	15	37
Interval_239	IV	132445	133356	+	912	12	19	56	14	24	57
Interval_240	IV	134802	135039	+	238	5	1	15	6	2	19
Interval_241	IV	145436	145627	+	192	1	1	6	1	1	8
Interval_242	IV	147639	148119	+	481	5	9	30	6	9	34
Interval_243	IV	155970	156351	+	382	4	9	22	5	10	27
Interval_244	IV	158821	159564	+	744	2	3	20	2	3	24
Interval_245	IV	167410	167628	+	219	1	2	8	1	3	8
Interval_246	IV	176357	176557	+	201	0	1	9	0	1	12
Interval_247	IV	199614	199915	+	302	1	5	15	1	6	14
Interval_248	IV	211114	211382	+	269	4	8	18	5	14	16
Interval_249	IV	212793	213510	+	718	7	8	24	7	10	31
Interval_250	IV	215636	216136	+	501	17	18	18	19	22	21
Interval_251	IV	217178	217571	+	394	11	11	36	13	13	39
Interval_252	IV	221398	222624	+	1227	18	14	35	18	15	36
Interval_253	IV	226941	227361	+	421	6	11	25	7	12	29
Interval_254	IV	228961	229622	+	662	7	13	15	7	15	21
Interval_255	IV	230688	230995	+	308	3	11	20	4	12	22
Interval_256	IV	234157	234816	+	660	12	18	47	12	22	46
Interval_257	IV	239605	240197	+	593	10	15	50	12	16	57
Interval_258	IV	241413	242232	+	820	2	9	27	3	9	32
Interval_259	IV	245466	245985	+	520	5	4	17	5	5	21
Interval_260	IV	258454	258866	+	413	1	2	17	1	4	21
Interval_261	IV	263896	265348	+	1453	10	12	34	10	12	37
Interval_262	IV	272002	272254	+	253	0	1	9	0	1	12
Interval_263	IV	286759	286997	+	239	4	4	12	6	4	14
Interval_264	IV	296226	296611	+	386	2	2	15	3	2	15
Interval_265	IV	301133	303247	+	2115	9	21	52	9	22	53
Interval_266	IV	304854	305054	+	201	1	4	13	1	4	15
Interval_267	IV	307834	308518	+	685	32	29	52	33	35	57
Interval_268	IV	312557	312877	+	321	0	4	17	1	4	17
Interval_269	IV	314742	315168	+	427	0	1	16	0	2	16
Interval_270	IV	321561	322212	+	652	21	26	54	21	31	58
Interval_271	IV	330234	331052	+	819	16	18	48	18	22	54
Interval_272	IV	334336	334750	+	415	2	3	14	3	3	15
Interval_273	IV	341106	341587	+	482	11	11	19	12	10	23
Interval_274	IV	356944	358207	+	1264	36	31	57	34	31	58
Interval_275	IV	363510	363806	+	297	6	10	17	7	10	22
Interval_276	IV	366141	366537	+	397	8	10	26	10	9	29
Interval_277	IV	368606	369623	+	1018	27	34	63	28	36	68
Interval_278	IV	385822	387105	+	1284	26	22	35	27	21	38
Interval_279	IV	392378	392847	+	470	4	7	21	5	8	22
Interval_280	IV	393660	394064	+	405	0	3	8	2	2	11
Interval_281	IV	407492	407697	+	206	2	4	15	2	6	20
Interval_282	IV	410350	412633	+	2284	50	70	250	52	77	272
Interval_283	IV	416932	417363	+	432	6	7	25	8	7	24
Interval_284	IV	421702	421953	+	252	4	0	12	4	1	15
Interval_285	IV	428772	428980	+	209	2	5	9	1	5	12
Interval_286	IV	431477	432289	+	813	5	8	22	7	8	23
Interval_287	IV	434148	434402	+	255	3	8	8	3	9	11
Interval_288	IV	437736	438214	+	479	2	12	5	3	13	5
Interval_289	IV	442235	443073	+	839	5	7	19	5	7	19
Interval_290	IV	461264	461775	+	512	10	4	28	10	5	31
Interval_291	IV	462509	462745	+	237	2	5	9	2	5	12
Interval_292	IV	464992	465813	+	822	20	26	66	20	30	69
Interval_293	IV	478715	479023	+	309	1	2	17	1	2	20
Interval_294	IV	483738	484008	+	271	1	3	11	1	3	13
Interval_295	IV	485230	485893	+	664	3	12	15	3	13	16
Interval_296	IV	488499	489419	+	921	14	12	22	15	14	25
Interval_297	IV	491026	491495	+	470	4	14	41	5	14	46
Interval_298	IV	501091	501733	+	643	8	6	12	9	7	13
Interval_299	IV	504800	505110	+	311	3	2	16	3	2	19
Interval_300	IV	506183	506442	+	260	2	3	13	3	4	14
Interval_301	IV	507138	508227	+	1090	19	12	26	20	12	28
Interval_302	IV	512190	512766	+	577	4	7	26	4	7	29
Interval_303	IV	521088	521337	+	250	5	2	3	4	3	6
Interval_304	IV	521434	521732	+	299	1	4	13	3	4	16
Interval_305	IV	524744	525287	+	544	9	14	20	8	15	24
Interval_306	IV	538817	539685	+	869	18	33	115	19	34	122
Interval_307	IV	541792	542332	+	541	4	18	27	4	18	29
Interval_308	IV	543680	543917	+	238	4	6	25	5	6	29
Interval_309	IV	545954	546393	+	440	5	16	35	6	17	38
Interval_310	IV	550691	551613	+	923	25	36	103	26	41	110
Interval_311	IV	556530	557112	+	583	20	18	48	22	17	47
Interval_312	IV	562637	563133	+	497	8	7	20	11	8	19
Interval_313	IV	568768	569069	+	302	5	6	8	7	9	15
Interval_314	IV	569975	570516	+	542	4	4	15	4	4	16
Interval_315	IV	573816	574016	+	201	5	5	9	4	5	9
Interval_316	IV	575839	576083	+	245	6	1	10	8	1	13
Interval_317	IV	579109	579345	+	237	3	1	12	4	1	14
Interval_318	IV	591615	592353	+	739	34	31	76	36	39	87
Interval_319	IV	593226	593828	+	603	3	7	72	3	7	78
Interval_320	IV	599740	601726	+	1987	48	50	141	50	50	152
Interval_321	IV	616172	616780	+	609	3	6	26	3	6	28
Interval_322	IV	619880	620118	+	239	3	3	12	3	3	14
Interval_323	IV	621661	621957	+	297	3	3	13	5	4	14
Interval_324	IV	626143	626343	+	201	3	4	11	4	4	11
Interval_325	IV	628646	628958	+	313	2	2	10	2	2	12
Interval_326	IV	635639	636833	+	1195	10	10	98	11	9	106
Interval_327	IV	643805	644043	+	239	1	0	9	1	0	9
Interval_328	IV	644782	645304	+	523	7	6	11	7	8	20
Interval_329	IV	652228	652674	+	447	2	8	17	3	7	20
Interval_330	IV	654762	654962	+	201	2	5	11	3	5	11
Interval_331	IV	657702	658206	+	505	2	4	11	2	4	12
Interval_332	IV	675571	675943	+	373	1	3	11	1	3	15
Interval_333	IV	680126	680547	+	422	2	5	24	2	5	27
Interval_334	IV	690342	690969	+	628	3	9	17	4	11	17
Interval_335	IV	693565	693973	+	409	6	4	3	6	5	4
Interval_336	IV	699533	699921	+	389	8	10	15	8	11	16
Interval_337	IV	703663	704264	+	602	5	7	9	5	9	9
Interval_338	IV	721600	722946	+	1347	17	32	91	19	34	99
Interval_339	IV	750848	751429	+	582	2	8	19	3	6	20
Interval_340	IV	755208	755536	+	329	2	5	17	2	5	19
Interval_341	IV	765287	765563	+	277	1	10	16	1	12	19
Interval_342	IV	768204	769866	+	1663	24	39	87	29	39	89
Interval_343	IV	794113	794545	+	433	4	7	24	4	7	25
Interval_344	IV	806077	806740	+	664	6	4	42	7	3	42
Interval_345	IV	807934	808552	+	619	4	9	21	4	9	22
Interval_346	IV	811563	812123	+	561	11	24	31	12	26	35
Interval_347	IV	814091	814310	+	220	1	6	4	1	6	4
Interval_348	IV	816746	817060	+	315	2	2	1	2	3	1
Interval_349	IV	817757	817979	+	223	1	1	9	1	1	11
Interval_350	IV	835684	836535	+	852	21	31	52	20	35	58
Interval_351	IV	848004	848294	+	291	1	3	13	1	3	12
Interval_352	IV	866662	868053	+	1392	14	18	67	15	18	72
Interval_353	IV	870762	871002	+	241	3	2	14	2	2	14
Interval_354	IV	884424	884712	+	289	10	8	8	10	9	9
Interval_355	IV	889089	889451	+	363	1	6	24	1	6	25
Interval_356	IV	892454	892654	+	201	1	7	9	2	8	12
Interval_357	IV	893604	894464	+	861	9	13	64	9	14	67
Interval_358	IV	904988	905184	+	197	0	0	8	0	0	8
Interval_359	IV	907063	907593	+	531	3	6	17	3	6	20
Interval_360	IV	909177	910144	+	968	12	19	35	13	20	36
Interval_361	IV	914524	915829	+	1306	12	27	31	14	28	33
Interval_362	IV	916160	916375	+	216	3	4	9	3	4	12
Interval_363	IV	923939	925044	+	1106	4	11	24	3	12	26
Interval_364	IV	926820	927257	+	438	6	14	31	8	14	31
Interval_365	IV	930388	930910	+	523	20	17	46	21	20	49
Interval_366	IV	935986	936204	+	219	1	0	8	1	0	9
Interval_367	IV	946324	946549	+	226	2	8	8	4	9	11
Interval_368	IV	954157	955643	+	1487	3	15	80	3	14	83
Interval_369	IV	959974	960406	+	433	6	9	20	7	9	22
Interval_370	IV	964902	965114	+	213	2	1	8	2	1	10
Interval_371	IV	974248	974448	+	201	4	2	9	6	2	11
Interval_372	IV	976220	977399	+	1180	26	29	71	29	29	73
Interval_373	IV	992762	993283	+	522	9	15	21	9	14	22
Interval_374	IV	998469	998738	+	270	6	4	16	7	3	19
Interval_375	IV	1003640	1003929	+	290	0	2	6	0	4	7
Interval_376	IV	1005248	1005654	+	407	6	4	21	5	4	24
Interval_377	IV	1011292	1012157	+	866	26	29	56	28	32	57
Interval_378	IV	1013757	1014104	+	348	7	21	39	7	22	38
Interval_379	IV	1016035	1016436	+	402	6	8	37	6	7	37
Interval_380	IV	1022332	1022635	+	304	3	9	14	3	10	15
Interval_381	IV	1030229	1030574	+	346	3	7	8	3	9	9
Interval_382	IV	1031594	1032270	+	677	5	8	28	6	9	30
Interval_383	IV	1050171	1050587	+	417	2	1	18	5	2	21
Interval_384	IV	1054876	1055127	+	252	4	6	12	6	6	13
Interval_385	IV	1055756	1056394	+	639	9	20	29	10	20	32
Interval_386	IV	1059105	1059406	+	302	4	1	4	5	1	5
Interval_387	IV	1062914	1063294	+	381	2	4	12	2	4	16
Interval_388	IV	1067155	1067348	+	194	0	0	4	0	0	6
Interval_389	IV	1071757	1072628	+	872	0	4	17	0	6	19
Interval_390	IV	1075172	1075554	+	383	1	11	10	2	12	12
Interval_391	IV	1080324	1081041	+	718	17	17	44	19	19	43
Interval_392	IV	1084818	1085018	+	201	0	1	10	0	2	13
Interval_393	IV	1086893	1087520	+	628	2	5	23	2	6	27
Interval_394	IV	1090128	1090335	+	208	4	4	9	4	5	12
Interval_395	IV	1095282	1095482	+	201	0	3	11	1	3	12
Interval_396	IV	1108153	1108575	+	423	2	0	6	4	0	10
Interval_397	IV	1125906	1126310	+	405	1	3	11	1	3	14
Interval_398	IV	1127661	1127861	+	201	0	2	9	0	2	11
Interval_399	IV	1129330	1129603	+	274	0	2	12	0	2	13
Interval_400	IV	1135383	1135719	+	337	5	7	10	5	8	10
Interval_401	IV	1140554	1140763	+	210	5	2	13	5	2	13
Interval_402	IV	1150612	1150925	+	314	5	7	12	9	6	13
Interval_403	IV	1156239	1156672	+	434	3	6	27	2	7	27
Interval_404	IV	1161647	1162185	+	539	5	11	41	5	11	44
Interval_405	IV	1164729	1165713	+	985	29	39	64	30	43	70
Interval_406	IV	1172143	1172507	+	365	5	9	8	6	9	12
Interval_407	IV	1174263	1175105	+	843	12	7	17	12	10	19
Interval_408	IV	1175732	1176008	+	277	2	10	12	2	11	14
Interval_409	IV	1178064	1178302	+	239	1	1	6	1	1	7
Interval_410	IV	1181405	1181605	+	201	3	4	11	3	4	11
Interval_411	IV	1182811	1183679	+	869	5	10	24	6	11	28
Interval_412	IV	1189231	1189950	+	720	5	4	26	6	4	27
Interval_413	IV	1194937	1195420	+	484	3	13	33	5	14	38
Interval_414	IV	1201666	1202217	+	552	6	13	12	6	15	12
Interval_415	IV	1213275	1213736	+	462	2	1	9	2	1	10
