PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_192	V	84817	85543	+	64	NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	365	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_334	VIII	122112	122805	+	64	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	307	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_110	IV	556584	556926	+	64	NA	promoter-TSS (YDR050C)	protein_coding-promoter-TSS (YDR050C)	-283	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_189	V	68894	69712	+	63	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-38	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_147	IV	1468689	1469329	+	63	NA	promoter-TSS (YDR508C)	protein_coding-promoter-TSS (YDR508C)	-391	YDR510W	YDR510W	YDR510W			SMT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_187	V	53296	53852	+	62	NA	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-356	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_394	X	703172	704049	+	61	NA	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-275	YJR146W	YJR146W	YJR146W			YJR146W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_527	XIII	408109	408855	+	60	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	-672	YMR070W	YMR070W	YMR070W			MOT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_268	VII	271336	272247	+	60	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-729	YGL125W	YGL125W	YGL125W			MET13			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_466	XII	489428	489812	+	60	NA	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	47	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_114	IV	599841	600318	+	60	NA	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-714	YDR077W	YDR077W	YDR077W			SED1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_66	III	50343	50688	+	59	NA	promoter-TSS (YCL040W)	protein_coding-promoter-TSS (YCL040W)	-69	YCL042W	YCL042W	YCL042W			YCL042W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_592	XIV	783582	784308	+	58	NA	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-404	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_198	V	191983	192375	+	58	NA	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	-391	YER017C	YER017C	YER017C			AFG3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_227	V	490849	491494	+	57	NA	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-316	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_275	VII	397895	398422	+	57	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-470	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_319	VII	1000035	1000666	+	57	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-577	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_569	XIV	427031	427606	+	56	NA	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-417	YNL103W	YNL103W	YNL103W			MET4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_100	IV	410984	411680	+	56	NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-493	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_665	XVI	76285	76585	+	56	NA	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-196	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_498	XII	1018983	1019233	+	56	NA	promoter-TSS (YLR441C)	protein_coding-promoter-TSS (YLR441C)	-200	YLR441C	YLR441C	YLR441C			RPS1A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_337	VIII	148764	149125	+	55	NA	promoter-TSS (YHR021C)	protein_coding-promoter-TSS (YHR021C)	-275	YHR021C	YHR021C	YHR021C			RPS27B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_276	VII	413199	413601	+	55	NA	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-702	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_241	VI	183072	183461	+	54	NA	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	-405	YFR017C	YFR017C	YFR017C			IGD1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_508	XIII	124217	124531	+	54	NA	promoter-TSS (YML073C)	protein_coding-promoter-TSS (YML073C)	-202	YML073C	YML073C	YML073C			RPL6A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_113	IV	591616	592278	+	54	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-492	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_139	IV	1359565	1359901	+	54	NA	promoter-TSS (YDR449C)	protein_coding-promoter-TSS (YDR449C)	-190	YDR450W	YDR450W	YDR450W			RPS18A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_273	VII	371078	371565	+	53	NA	promoter-TSS (YGL071W)	protein_coding-promoter-TSS (YGL071W)	41	YGL072C	YGL072C	YGL072C			YGL072C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_640	XV	779511	780072	+	53	NA	promoter-TSS (YOR234C)	protein_coding-promoter-TSS (YOR234C)	-79	YOR235W	YOR235W	YOR235W			IRC13			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_600	XV	109170	110177	+	53	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	497	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_392	X	663010	663438	+	53	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-165	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_355	VIII	556265	557048	+	53	NA	TTS (YHR216W)	protein_coding-TTS (YHR216W)	386	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_16	II	60863	61140	+	53	NA	promoter-TSS (YBL087C)	protein_coding-promoter-TSS (YBL087C)	-262	YBL087C	YBL087C	YBL087C			RPL23A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_155	IX	68297	68650	+	53	NA	promoter-TSS (YIL148W)	protein_coding-promoter-TSS (YIL148W)	-235	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_208	V	303281	303808	+	53	NA	promoter-TSS (YER073W)	protein_coding-promoter-TSS (YER073W)	-486	YER073W	YER073W	YER073W			ALD5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_533	XIII	551149	551807	+	53	NA	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-271	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_682	XVI	431437	432229	+	52	NA	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	-62	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_510	XIII	169879	170296	+	52	NA	promoter-TSS (YML052W)	protein_coding-promoter-TSS (YML052W)	-315	YML052W	YML052W	YML052W			SUR7			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_647	XV	882022	882478	+	52	NA	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-515	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_293	VII	650746	651060	+	52	NA	promoter-TSS (YGR086C)	protein_coding-promoter-TSS (YGR086C)	-286	YGR086C	YGR086C	YGR086C			PIL1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_314	VII	919723	920504	+	52	NA	promoter-TSS (YGR213C)	protein_coding-promoter-TSS (YGR213C)	-462	YGR214W	YGR214W	YGR214W			RPS0A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_450	XII	187334	187862	+	50	NA	promoter-TSS (YLR023C)	protein_coding-promoter-TSS (YLR023C)	-469	YLR023C	YLR023C	YLR023C			IZH3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_201	V	222220	222557	+	49	NA	promoter-TSS (YER035W)	protein_coding-promoter-TSS (YER035W)	-251	YER035W	YER035W	YER035W			EDC2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_443	XII	11175	11858	+	49	NA	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-210	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_4	I	45296	45724	+	49	NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-389	YAL053W	YAL053W	YAL053W			FLC2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_402	XI	99386	100095	+	49	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-931	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_288	VII	592521	592977	+	49	NA	promoter-TSS (YGR050C)	protein_coding-promoter-TSS (YGR050C)	-307	YGR050C	YGR050C	YGR050C			YGR050C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_246	VI	224884	225575	+	48	NA	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	-460	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_494	XII	924580	924994	+	48	NA	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-102	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_388	X	639057	639548	+	48	NA	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-327	YJR113C	YJR113C	YJR113C			RSM7			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_367	X	220243	220659	+	48	NA	promoter-TSS (YJL106W)	protein_coding-promoter-TSS (YJL106W)	-435	YJL107C	YJL107C	YJL107C			YJL107C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_313	VII	904988	905788	+	48	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	151	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_501	XII	1071611	1071821	+	48	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	-6	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_274	VII	384585	385136	+	48	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-209	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_205	V	270212	270530	+	48	NA	promoter-TSS (YER056C-A)	protein_coding-promoter-TSS (YER056C-A)	-186	YER056C-A	YER056C-A	YER056C-A			RPL34A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_72	III	137123	137613	+	47	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-378	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_534	XIII	556844	557391	+	47	NA	promoter-TSS (YMR145C)	protein_coding-promoter-TSS (YMR145C)	-642	YMR145C	YMR145C	YMR145C			NDE1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_417	XI	258395	258912	+	47	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	260	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_664	XVI	74881	75587	+	47	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-468	YPL250W-A	YPL250W-A	YPL250W-A			YPL250W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_211	V	342518	342823	+	47	NA	promoter-TSS (YER091C)	protein_coding-promoter-TSS (YER091C)	-59	YER091C-A	YER091C-A	YER091C-A			YER091C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_102	IV	465102	465499	+	47	NA	promoter-TSS (YDR010C)	protein_coding-promoter-TSS (YDR010C)	83	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_637	XV	742197	742672	+	47	NA	promoter-TSS (YOR211C)	protein_coding-promoter-TSS (YOR211C)	-476	YOR212W	YOR212W	YOR212W			STE4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_709	XVI	812732	813016	+	47	NA	promoter-TSS (YPR138C)	protein_coding-promoter-TSS (YPR138C)	-421	YPR138C	YPR138C	YPR138C			MEP3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_364	X	160005	160382	+	47	NA	promoter-TSS (YJL133C-A)	protein_coding-promoter-TSS (YJL133C-A)	-346	YJL133C-A	YJL133C-A	YJL133C-A			YJL133C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_587	XIV	662012	662541	+	47	NA	promoter-TSS (YNR016C)	protein_coding-promoter-TSS (YNR016C)	-637	YNR017W	YNR017W	YNR017W			TIM23			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_677	XVI	339344	339700	+	47	NA	promoter-TSS (YPL111W)	protein_coding-promoter-TSS (YPL111W)	-422	YPL111W	YPL111W	YPL111W			CAR1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_572	XIV	495055	495439	+	46	NA	promoter-TSS (YNL069C)	protein_coding-promoter-TSS (YNL069C)	-246	YNL069C	YNL069C	YNL069C			RPL16B			protein_coding
